;sc;NOR;SAI;RUS;HAM;RIC;ALO;STR;PER;OCO;VET;GAS;TSU;RAI;MSC;MAZ;BOT;GIO;LAT;LEC;VER
0;0;2;1;3;7;5;6;4;8;9;11;14;20;10;18;13;15;19;16;12;17
1;0;2;1;3;6;5;7;4;8;9;11;14;20;10;19;13;15;18;17;12;16
2;0;2;1;3;6;5;8;4;7;9;11;13;20;10;19;14;15;18;17;12;16
3;0;2;1;3;6;5;8;4;7;9;11;13;19;10;20;16;14;18;17;12;15
4;0;2;1;3;6;5;8;4;7;9;11;13;19;10;20;16;14;18;17;12;15
5;0;2;1;3;6;5;8;4;7;9;11;13;19;10;20;16;15;18;17;12;14
6;0;2;1;3;6;5;8;4;7;9;11;13;19;10;20;16;15;18;17;12;14
7;0;2;1;3;6;5;8;4;7;9;11;14;19;10;20;16;15;18;17;12;13
8;0;2;1;3;6;5;8;4;7;9;11;14;19;10;20;16;15;18;17;12;13
9;0;2;1;3;6;5;8;4;7;9;11;14;19;10;20;16;15;18;17;13;12
10;0;2;1;3;6;5;8;4;7;9;11;14;19;10;20;16;15;17;18;13;12
11;0;2;1;3;5;4;8;7;6;9;11;14;19;10;20;16;15;17;18;13;12
12;0;1;2;6;4;3;7;15;5;8;11;13;20;9;18;17;14;16;19;12;10
13;0;1;3;15;4;2;6;14;5;7;11;12;20;8;18;17;13;16;19;10;9
14;0;1;13;15;3;2;5;14;4;8;9;11;20;10;17;19;12;16;18;7;6
15;0;1;11;13;3;2;5;12;4;15;8;9;19;16;17;20;10;14;18;7;6
16;0;1;11;13;3;2;5;12;4;15;8;9;19;16;17;20;10;14;18;7;6
17;0;1;11;13;3;2;5;12;4;15;8;9;19;16;17;20;10;14;18;7;6
18;0;1;11;13;3;2;5;12;4;15;8;9;19;16;17;20;10;14;18;7;6
19;0;1;11;13;3;2;5;12;4;15;8;9;19;16;17;20;10;14;18;7;6
20;0;1;11;13;3;2;5;12;4;15;8;9;18;16;20;19;10;14;17;7;6
21;0;1;11;13;2;6;4;12;3;14;8;9;18;16;20;19;10;15;17;7;5
22;0;1;10;12;2;14;4;11;3;13;7;8;18;16;20;19;9;15;17;6;5
23;0;1;10;12;2;13;4;11;3;14;7;8;18;15;20;19;9;16;17;6;5
24;0;1;10;12;2;13;4;11;3;14;7;8;18;15;20;19;9;16;17;6;5
25;0;1;9;13;4;12;3;11;2;14;10;7;18;15;20;19;8;16;17;5;6
26;0;1;6;11;9;10;3;8;2;13;16;5;18;14;20;19;7;15;17;4;12
27;0;1;6;12;8;9;3;7;2;13;16;5;18;14;20;19;10;15;17;4;11
28;0;4;6;11;7;9;2;8;1;12;14;5;18;13;20;19;16;15;17;3;10
29;0;4;7;11;5;9;2;8;1;12;14;6;18;13;20;19;16;15;17;3;10
30;0;4;7;11;5;8;2;9;1;12;14;6;18;13;19;20;15;16;17;3;10
31;0;4;7;11;5;8;2;10;1;12;14;6;18;13;20;19;15;16;17;3;9
32;0;4;6;11;5;7;2;9;1;12;14;10;18;13;ab;19;15;16;17;3;8
33;0;3;6;10;5;7;2;9;1;11;13;16;18;12;ab;19;14;15;17;4;8
34;0;3;6;10;4;7;2;9;1;11;13;15;18;12;ab;19;14;16;17;5;8
35;0;2;5;9;3;6;4;8;1;10;12;15;18;11;ab;19;14;16;17;13;7
36;0;1;3;9;2;4;7;8;5;10;12;15;17;11;ab;19;14;18;16;13;6
37;0;1;3;9;2;4;6;8;5;10;12;15;17;11;ab;19;14;18;16;13;7
38;0;1;3;9;2;4;6;8;5;10;13;15;17;11;ab;19;14;18;16;12;7
39;0;1;3;9;2;4;6;8;5;11;13;15;17;12;ab;19;14;18;16;10;7
40;0;1;3;9;2;4;6;8;5;11;13;15;17;12;ab;19;14;18;16;10;7
41;0;1;3;10;2;4;6;8;5;11;13;15;17;12;ab;19;14;18;16;9;7
42;0;1;3;10;2;4;6;8;5;11;12;15;17;13;ab;19;14;18;16;9;7
43;0;1;3;10;2;5;6;9;4;12;11;15;17;13;ab;19;14;18;16;8;7
44;0;1;3;10;2;5;6;9;4;12;11;15;17;13;ab;19;14;18;16;8;7
45;0;1;3;11;2;5;6;9;4;12;10;15;17;13;ab;19;14;18;16;8;7
46;0;1;4;13;2;6;5;10;3;11;9;12;18;15;ab;19;14;16;17;8;7
47;0;1;7;14;2;8;4;12;3;10;9;11;17;15;ab;18;13;16;19;5;6
48;0;1;8;13;2;9;3;16;4;11;6;10;17;14;ab;18;12;15;19;5;7
49;0;1;6;11;2;8;5;13;7;15;12;14;17;10;ab;18;9;16;19;4;3
50;0;4;3;10;1;5;7;11;9;15;12;14;17;8;ab;18;6;16;19;13;2
51;0;8;3;10;1;4;6;11;9;14;12;13;17;7;ab;18;5;16;19;15;2
52;0;7;3;10;1;4;6;11;9;14;12;13;17;8;ab;18;5;16;19;15;2
