;sc;BOT;VER;LEC;GAS;ALO;PER;NOR;STR;TSU;VET;HAM;OCO;RUS;MSC;LAT;GIO;RAI;MAZ;SAI;RIC
0;0;1;2;3;5;16;4;6;7;8;10;9;11;14;15;20;12;13;19;17;18
1;0;1;2;3;5;15;4;6;7;8;10;9;11;14;19;20;12;13;18;16;17
2;0;1;2;3;5;16;4;6;7;8;10;9;11;14;19;20;12;13;18;15;17
3;0;1;2;3;5;17;4;6;7;8;10;9;11;14;19;20;12;13;18;15;16
4;0;1;2;3;5;17;4;6;7;8;10;9;11;15;19;20;12;13;18;14;16
5;0;1;2;3;5;17;4;6;7;8;10;9;11;15;19;20;12;14;18;13;16
6;0;1;2;3;5;17;4;6;7;8;10;9;11;15;19;20;13;14;18;12;16
7;0;1;2;3;5;17;4;6;7;9;10;8;12;15;20;19;13;14;18;11;16
8;0;1;2;3;5;17;4;6;8;9;10;7;12;15;20;19;13;14;18;11;16
9;0;1;2;3;5;17;4;7;8;9;10;6;12;15;20;19;13;14;18;11;16
10;0;1;2;3;5;17;4;7;8;9;10;6;12;15;20;18;13;14;19;11;16
11;0;1;2;3;5;17;4;7;8;9;10;6;12;15;20;18;13;14;19;11;16
12;0;1;2;3;5;17;4;7;8;9;11;6;12;15;20;18;13;14;19;10;16
13;0;1;2;3;6;17;4;7;8;9;11;5;12;15;20;18;13;14;19;10;16
14;0;1;2;3;6;17;4;7;8;9;11;5;12;15;20;18;13;14;19;10;16
15;0;1;2;3;6;17;4;7;8;9;11;5;12;15;20;18;13;14;19;10;16
16;0;1;2;3;6;17;4;7;8;10;11;5;12;15;20;18;13;14;19;9;16
17;0;1;2;3;6;17;4;7;8;10;11;5;12;15;20;18;13;14;19;9;16
18;0;1;2;3;6;17;4;7;8;10;11;5;12;15;20;18;13;14;19;9;16
19;0;1;2;3;6;17;4;7;8;10;11;5;12;15;20;18;13;14;19;9;16
20;0;1;2;3;6;17;4;7;8;10;11;5;12;15;20;18;13;14;19;9;16
21;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
22;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
23;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
24;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
25;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
26;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
27;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
28;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
29;0;1;2;3;6;16;4;7;8;13;10;5;11;15;20;17;12;14;19;9;18
30;0;1;2;3;6;18;4;7;8;13;10;5;11;15;20;16;12;14;19;9;17
31;0;1;2;3;6;18;4;7;8;13;10;5;11;15;20;16;12;14;19;9;17
32;0;1;2;3;6;18;4;7;8;13;10;5;11;15;20;17;12;14;19;9;16
33;0;1;2;3;6;18;5;7;8;13;10;4;11;15;20;17;12;14;19;9;16
34;0;1;2;3;6;17;4;9;7;14;10;5;11;16;19;18;12;13;20;8;15
35;0;1;2;3;6;17;4;9;7;15;11;5;10;16;19;18;12;13;20;8;14
36;0;1;3;2;6;16;5;8;7;14;18;4;9;15;19;17;11;13;20;10;12
37;0;2;3;1;5;16;6;8;7;14;19;4;9;15;18;17;11;13;20;10;12
38;0;2;3;1;5;16;6;8;7;14;18;4;9;15;19;17;11;13;20;10;12
39;0;2;3;1;6;16;5;7;11;14;18;4;8;15;19;17;10;13;20;9;12
40;0;2;3;1;6;16;5;7;10;14;18;4;8;15;19;17;12;13;20;9;11
41;0;2;3;1;6;16;5;7;10;14;18;4;8;15;19;17;12;13;20;9;11
42;0;2;3;1;6;16;5;7;10;14;18;4;8;15;19;17;12;13;20;9;11
43;0;2;3;1;6;16;5;7;10;14;18;4;8;15;19;17;12;13;20;9;11
44;0;2;3;1;6;16;5;7;10;14;18;4;8;15;19;17;12;13;20;9;11
45;0;2;3;1;6;16;5;7;10;14;18;4;9;15;19;17;12;13;20;8;11
46;0;1;3;2;6;16;5;7;10;14;18;4;9;15;19;17;12;13;20;8;11
47;0;1;2;4;6;16;5;7;10;14;18;3;9;15;19;17;12;13;20;8;11
48;0;1;2;4;6;16;5;7;10;14;18;3;9;15;19;17;12;13;20;8;11
49;0;1;2;4;6;16;5;7;10;14;18;3;9;15;19;17;12;13;20;8;11
50;0;1;2;4;6;16;3;7;10;14;18;5;9;15;19;17;12;13;20;8;11
51;0;1;2;4;6;16;3;7;10;14;18;5;9;15;19;17;12;13;20;8;11
52;0;1;2;4;6;16;3;7;9;14;18;5;10;15;19;17;12;13;20;8;11
53;0;1;2;4;6;16;3;7;9;14;18;5;10;15;19;17;12;13;20;8;11
54;0;1;2;4;6;16;3;7;9;14;18;5;10;15;19;17;12;13;20;8;11
55;0;1;2;4;6;16;3;7;9;14;18;5;10;15;19;17;11;12;20;8;13
56;0;1;2;4;6;16;3;7;9;14;18;5;10;15;19;17;11;12;20;8;13
57;0;1;2;4;6;16;3;7;9;14;18;5;10;15;19;17;11;12;20;8;13
