;sc;VER;HAM;PER;LEC;SAI;RIC;NOR;GAS;BOT;TSU;OCO;GIO;STR;LAT;RAI;MSC;MAZ;VET;ALO;RUS
0;0;2;1;3;4;6;5;7;10;9;8;13;11;18;19;12;17;20;15;16;14
1;0;2;1;3;4;6;5;7;10;9;8;13;11;17;19;12;18;20;15;16;14
2;0;2;1;3;4;6;5;7;9;10;8;13;11;17;19;12;18;20;15;16;14
3;0;2;1;3;4;6;5;7;9;10;8;20;11;16;18;12;17;19;14;15;13
4;0;2;1;3;4;6;5;7;9;10;8;20;11;16;18;12;17;19;14;15;13
5;0;2;1;3;4;6;5;7;9;10;8;20;11;16;19;12;17;18;14;15;13
6;0;2;1;3;4;6;5;7;9;10;8;20;11;16;19;12;17;18;14;15;13
7;0;2;1;3;4;6;5;7;9;10;8;20;11;15;18;12;16;19;14;17;13
8;0;2;1;3;4;6;5;7;9;10;8;19;16;14;18;11;15;20;12;17;13
9;0;2;1;3;4;6;5;7;8;9;14;19;15;12;18;10;13;20;11;16;17
10;0;4;1;2;3;6;5;11;13;7;12;19;15;10;18;8;14;20;9;16;17
11;0;4;1;2;3;8;7;10;13;5;12;18;14;11;17;6;19;20;9;15;16
12;0;2;1;3;4;7;6;8;12;5;11;18;13;10;17;15;19;20;9;14;16
13;0;1;2;3;4;7;6;8;20;5;11;17;12;10;16;14;18;19;9;13;15
14;0;1;2;3;4;7;6;8;ab;5;11;17;12;10;16;14;18;19;9;13;15
15;0;1;2;3;4;6;5;7;ab;11;10;17;12;9;16;13;18;19;8;14;15
16;0;1;2;3;4;6;5;7;ab;11;10;17;12;9;16;13;18;19;8;14;15
17;0;1;2;3;4;6;5;7;ab;9;8;17;11;10;16;12;18;19;15;13;14
18;0;1;2;3;4;6;5;7;ab;8;9;17;11;15;16;10;18;19;14;12;13
19;0;1;2;3;4;6;5;7;ab;8;9;17;12;15;16;10;18;19;14;11;13
20;0;1;2;3;4;6;5;7;ab;8;9;17;12;15;16;10;18;19;14;11;13
21;0;1;2;3;4;6;5;7;ab;8;9;17;12;15;16;10;18;19;14;11;13
22;0;1;2;3;4;6;5;7;ab;8;9;17;11;15;16;10;18;19;14;12;13
23;0;1;2;3;4;6;5;7;ab;8;9;17;11;15;16;10;18;19;14;12;13
24;0;1;2;3;4;6;5;7;ab;8;9;17;12;15;16;10;18;19;13;11;14
25;0;1;2;3;4;6;5;7;ab;8;9;18;12;15;17;10;16;19;13;11;14
26;0;1;2;3;4;6;5;7;ab;8;9;18;15;14;17;10;16;19;12;11;13
27;1;1;2;3;4;6;5;7;ab;8;9;18;15;14;17;10;16;19;12;11;13
28;0;1;2;3;4;6;5;7;ab;8;9;18;15;12;17;10;16;19;11;14;13
29;0;2;1;3;4;8;5;6;ab;7;9;18;15;12;17;10;16;19;11;14;13
30;0;2;1;4;3;7;6;8;ab;5;9;18;15;12;17;10;16;19;11;14;13
31;0;2;1;4;3;7;6;8;ab;5;9;18;14;11;17;12;16;19;10;13;15
32;0;2;1;3;4;7;6;8;ab;5;11;18;14;10;17;12;16;19;9;13;15
33;0;2;1;3;4;7;6;8;ab;5;10;18;14;12;17;11;16;19;9;13;15
34;0;2;1;3;4;6;5;8;ab;7;10;17;13;14;16;11;18;19;9;12;15
35;0;2;1;3;4;6;5;8;ab;7;10;17;13;14;16;11;18;19;9;12;15
36;0;2;1;3;4;6;5;8;ab;7;10;17;13;14;16;11;18;19;9;12;15
37;0;1;2;3;4;6;5;8;ab;7;10;17;13;14;16;11;18;19;9;12;15
38;0;1;2;3;4;6;5;8;ab;7;9;17;12;14;16;10;18;19;13;11;15
39;0;1;2;3;4;6;5;8;ab;7;9;18;11;13;16;10;17;19;12;14;15
40;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
41;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
42;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
43;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
44;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
45;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
46;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
47;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
48;0;1;2;3;4;6;5;8;ab;7;9;ab;11;14;16;10;17;18;12;13;15
49;0;1;2;3;4;6;5;8;ab;7;9;ab;12;13;15;10;16;17;11;ab;14
50;0;1;2;3;4;6;5;8;ab;7;9;ab;12;13;15;10;16;17;11;ab;14
51;0;1;2;3;4;6;5;8;ab;7;9;ab;11;13;15;12;16;17;10;ab;14
52;0;1;2;3;4;6;5;8;ab;7;9;ab;11;13;15;12;16;17;10;ab;14
53;0;1;2;3;4;6;5;8;ab;7;9;ab;11;13;15;12;16;17;10;ab;14
54;0;1;2;3;4;7;5;8;ab;6;9;ab;11;12;15;13;16;17;10;ab;14
55;0;1;2;3;4;7;5;8;ab;6;9;ab;11;12;15;13;16;17;10;ab;14
