;sc;HAM;PER;VER;LEC;GAS;RIC;NOR;BOT;OCO;STR;SAI;RUS;VET;LAT;ALO;RAI;GIO;MSC;MAZ;TSU
0;1;2;4;1;3;6;5;9;10;14;7;8;11;18;ab;17;12;13;16;19;15
1;1;2;4;1;3;6;5;9;10;19;7;8;11;17;ab;16;12;13;15;18;14
2;1;2;4;1;3;6;5;9;10;18;7;8;11;19;ab;16;12;13;15;17;14
3;1;2;4;1;3;6;5;9;10;17;7;8;11;18;ab;15;12;13;19;16;14
4;1;2;4;1;3;6;5;9;10;17;7;8;11;18;ab;15;12;13;19;16;14
5;1;2;4;1;3;6;5;9;10;17;7;8;11;18;ab;15;12;13;19;16;14
6;0;2;4;1;3;6;5;8;10;16;9;7;11;17;ab;15;12;13;19;18;14
7;0;2;4;1;3;6;5;7;10;16;9;8;11;17;ab;15;12;13;19;18;14
8;0;2;4;1;3;8;5;6;10;16;9;7;11;17;ab;15;12;13;19;18;14
9;0;2;4;1;3;8;5;6;10;15;9;7;11;16;ab;17;12;13;19;18;14
10;0;2;4;1;3;9;5;6;10;15;8;7;11;16;ab;17;12;13;19;18;14
11;0;2;4;1;3;10;5;6;9;15;8;7;11;16;ab;17;12;13;19;18;14
12;0;2;4;1;3;14;5;6;9;16;8;7;10;15;ab;17;11;12;18;19;13
13;0;2;4;1;3;17;5;6;9;15;8;7;10;14;ab;16;11;12;18;19;13
14;0;2;4;1;3;18;5;6;9;15;8;7;10;14;ab;16;11;12;17;19;13
15;0;2;4;1;3;18;5;6;9;15;8;7;10;14;ab;16;11;12;17;19;13
16;0;2;4;1;3;18;6;5;9;15;8;7;10;14;ab;16;11;12;17;19;13
17;0;2;4;1;3;18;6;5;9;15;8;7;10;14;ab;16;11;12;17;19;13
18;0;2;4;1;3;18;6;5;9;15;8;7;10;14;ab;16;11;12;17;19;13
19;0;2;4;1;3;17;6;5;9;14;8;7;10;16;ab;15;11;12;18;19;13
20;0;2;4;1;3;16;6;5;9;14;8;7;10;17;ab;15;11;12;18;19;13
21;0;2;4;1;3;16;6;5;9;14;8;7;10;17;ab;15;11;12;18;19;13
22;0;2;4;1;3;16;6;5;9;14;8;7;10;17;ab;15;11;12;18;19;13
23;0;2;4;1;3;16;6;5;9;14;8;7;10;17;ab;15;11;12;18;19;13
24;0;2;4;1;3;16;6;5;9;13;8;7;10;17;ab;15;11;12;18;19;14
25;0;2;4;1;3;16;7;5;9;13;8;6;10;17;ab;14;11;12;18;19;15
26;0;1;4;2;3;16;7;5;8;12;9;6;13;17;ab;11;14;10;18;19;15
27;0;1;4;3;2;16;8;5;6;15;9;7;10;17;ab;12;11;13;18;19;14
28;0;2;5;1;3;16;7;4;8;14;9;6;10;17;ab;15;11;13;18;19;12
29;0;2;5;1;3;16;7;4;9;14;8;6;10;17;ab;15;11;13;18;19;12
30;0;7;4;1;2;14;6;3;ab;12;8;5;ab;15;ab;13;9;11;16;17;10
31;1;9;4;1;2;14;6;3;ab;13;7;5;ab;15;ab;12;8;11;16;17;10
32;1;9;4;1;2;14;6;3;ab;13;7;5;ab;15;ab;12;8;11;16;17;10
33;1;8;4;1;2;14;6;3;ab;13;7;5;ab;15;ab;12;10;11;16;17;9
34;0;8;4;1;3;12;6;2;ab;13;7;5;ab;14;ab;11;9;10;16;17;15
35;0;8;4;1;3;12;6;2;ab;13;7;5;ab;14;ab;11;9;10;16;17;15
36;0;8;4;1;3;12;6;2;ab;13;7;5;ab;14;ab;11;9;10;16;17;15
37;0;7;14;1;3;11;5;2;ab;12;6;4;ab;13;ab;10;8;9;16;17;15
38;0;6;14;1;3;11;5;2;ab;12;7;4;ab;13;ab;10;8;9;16;17;15
39;0;6;14;1;3;9;5;2;ab;11;7;4;ab;12;ab;10;8;13;16;17;15
40;0;6;13;1;3;9;5;2;ab;10;7;4;ab;12;ab;11;8;15;16;17;14
41;0;5;13;1;3;9;6;2;ab;10;7;4;ab;12;ab;11;8;15;16;17;14
42;0;5;13;1;3;9;6;2;ab;10;7;4;ab;12;ab;11;8;15;16;17;14
43;0;5;13;1;3;9;6;2;ab;10;7;4;ab;12;ab;11;8;15;16;17;14
44;0;5;13;1;3;9;6;2;ab;10;7;4;ab;12;ab;11;8;15;16;17;14
45;0;5;13;1;3;8;6;2;ab;10;7;4;ab;12;ab;11;9;15;16;17;14
46;0;5;13;1;3;8;6;2;ab;10;7;4;ab;12;ab;11;9;15;16;17;14
47;0;5;12;1;3;8;6;2;ab;10;7;4;ab;13;ab;11;9;15;16;17;14
48;0;5;12;1;3;8;6;2;ab;10;7;4;ab;13;ab;11;9;15;16;17;14
49;0;4;12;1;3;8;6;2;ab;10;7;5;ab;13;ab;11;9;15;16;17;14
50;0;4;12;1;3;8;6;2;ab;10;7;5;ab;13;ab;11;9;15;16;17;14
51;0;4;12;1;3;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
52;0;4;12;1;3;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
53;0;4;12;1;3;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
54;0;3;12;1;4;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
55;0;3;12;1;4;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
56;0;3;12;1;4;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
57;0;3;12;1;4;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
58;0;3;12;1;4;8;6;2;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
59;0;2;12;1;4;8;6;3;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
60;0;2;12;1;4;8;6;3;ab;10;7;5;ab;14;ab;11;9;15;16;17;13
61;0;2;12;1;4;8;6;3;ab;10;7;5;ab;15;ab;11;9;14;16;17;13
62;0;2;12;1;4;8;6;3;ab;10;7;5;ab;15;ab;11;9;14;16;17;13
