;sc;HAM;GAS;ALO;NOR;SAI;BOT;VER;TSU;OCO;VET;PER;STR;LEC;RIC;RUS;RAI;LAT;GIO;MSC;MAZ
0;0;1;3;2;5;7;11;4;8;6;17;9;10;13;16;15;12;19;14;18;20
1;0;1;3;2;5;7;11;4;8;6;17;9;10;13;16;15;12;19;14;18;20
2;0;1;4;2;5;7;11;3;8;6;17;9;10;13;16;15;12;18;14;19;20
3;0;1;4;2;5;7;11;3;8;6;17;9;10;13;16;15;12;18;14;19;20
4;0;1;4;3;5;7;11;2;9;6;17;8;10;13;16;15;12;18;14;19;20
5;0;1;4;3;5;7;11;2;9;6;17;8;10;12;16;15;13;18;14;19;20
6;0;1;4;3;5;7;11;2;9;6;17;8;10;12;15;16;13;18;14;19;20
7;0;1;4;3;5;8;11;2;9;6;17;7;10;12;14;16;13;18;15;19;20
8;0;1;4;3;5;8;10;2;20;7;16;6;9;11;13;15;12;17;14;18;19
9;0;1;4;3;5;8;9;2;20;7;15;6;10;11;12;14;19;16;13;17;18
10;0;1;4;3;5;8;9;2;19;7;15;6;10;11;12;14;20;16;13;17;18
11;0;1;5;3;4;8;9;2;19;7;15;6;10;11;12;14;20;16;13;17;18
12;0;1;17;3;4;7;8;2;19;6;14;5;9;10;11;13;20;15;12;16;18
13;0;1;18;3;4;7;8;2;19;6;13;5;9;10;11;14;20;15;12;16;17
14;0;1;17;3;4;8;7;2;18;6;12;5;9;10;11;13;19;14;20;15;16
15;0;1;16;3;5;8;7;2;18;6;12;4;9;10;11;13;19;14;20;15;17
16;0;1;15;3;5;8;6;2;17;7;12;4;9;10;11;20;18;13;19;14;16
17;0;1;13;3;5;8;6;2;16;7;12;4;9;10;11;20;17;19;18;14;15
18;0;1;13;3;4;7;5;2;16;6;12;11;8;9;10;19;17;20;18;14;15
19;0;1;13;3;4;7;5;2;16;6;11;12;8;9;10;19;17;20;18;14;15
20;0;1;13;3;4;7;5;2;15;6;11;12;8;9;10;19;17;20;18;14;16
21;0;1;13;3;4;7;5;2;14;6;11;12;8;9;10;18;15;19;17;20;16
22;0;1;12;7;4;6;3;2;14;5;11;10;13;8;9;18;15;19;17;20;16
23;0;1;11;7;4;5;3;2;14;12;10;9;13;6;8;18;15;19;16;20;17
24;0;1;11;6;10;4;3;2;14;12;9;7;13;5;8;18;15;19;16;20;17
25;0;1;8;6;9;4;3;2;12;10;15;7;11;5;13;18;14;19;16;20;17
26;0;1;6;4;7;8;3;2;11;9;16;5;10;12;15;17;13;19;14;20;18
27;0;1;6;4;7;10;3;2;11;8;15;5;9;13;16;17;12;18;14;20;19
28;0;1;6;5;7;10;3;2;11;8;14;4;9;13;16;17;12;18;15;20;19
29;0;1;6;5;7;10;3;2;11;8;13;4;9;12;15;16;18;17;14;20;19
30;0;1;6;5;7;10;3;2;11;8;13;4;9;12;15;16;19;17;14;18;20
31;0;1;6;5;7;10;3;2;11;8;13;4;9;12;14;15;19;16;17;18;20
32;0;1;5;4;6;9;13;2;10;7;12;3;8;11;14;15;18;16;19;17;20
33;0;1;5;4;6;9;14;2;13;7;11;3;8;10;12;15;17;16;19;18;20
34;0;1;10;4;5;8;13;2;16;6;11;3;7;9;12;14;17;15;19;18;20
35;0;1;11;4;5;8;13;2;16;6;10;3;7;9;12;14;17;15;19;18;20
36;0;1;11;4;5;8;13;2;16;6;10;3;7;9;12;14;17;15;19;18;20
37;0;1;11;4;5;8;13;2;16;6;10;3;7;9;12;14;17;15;19;18;20
38;0;1;11;4;5;8;13;2;15;6;10;3;7;9;12;14;17;16;19;18;20
39;0;1;11;4;5;8;13;2;15;6;10;3;7;9;12;14;17;16;18;19;20
40;0;1;11;3;4;8;13;2;15;5;10;6;7;9;12;14;17;16;18;19;20
41;0;1;11;3;4;8;12;2;15;5;10;7;6;9;13;14;16;17;18;19;20
42;0;1;11;3;4;8;12;2;15;5;10;7;6;9;13;14;16;17;18;19;20
43;0;1;11;3;4;8;12;2;14;5;10;7;6;9;13;15;16;17;18;19;20
44;0;1;11;3;4;8;12;2;14;5;10;7;6;9;13;15;16;17;18;19;20
45;0;1;11;3;4;8;12;2;14;5;10;6;7;9;13;15;16;17;18;19;20
46;0;1;11;3;4;8;12;2;14;6;10;5;7;9;13;15;16;17;18;19;20
47;0;1;11;3;4;8;12;2;14;6;10;5;7;9;13;15;16;17;18;19;20
48;0;1;11;3;9;7;ab;2;13;5;10;4;6;8;12;18;14;15;16;17;19
49;0;1;10;3;11;7;ab;2;13;5;9;4;6;8;12;18;14;16;15;17;19
50;0;1;11;3;10;7;ab;2;13;5;9;4;6;8;12;17;14;ab;15;16;18
51;0;1;11;3;10;7;ab;2;13;5;9;4;6;8;12;17;14;ab;15;16;18
52;0;1;11;3;10;7;ab;2;13;5;9;4;6;8;12;17;14;ab;15;16;18
53;0;1;11;3;9;7;ab;2;13;5;10;4;6;8;12;17;14;ab;15;16;18
54;1;1;11;3;9;7;ab;2;13;5;10;4;6;8;12;17;14;ab;15;16;18
55;1;1;11;3;9;7;ab;2;13;5;10;4;6;8;12;17;14;ab;15;16;18
56;0;1;11;3;9;7;ab;2;13;5;10;4;6;8;12;17;14;ab;15;16;18
