;sc;HAM;BOT;VER;LEC;PER;GAS;NOR;TSU;OCO;GIO;RIC;RAI;ALO;RUS;SAI;LAT;VET;STR;MSC;MAZ
0;0;1;2;3;4;5;8;6;12;7;10;9;14;11;17;13;19;15;16;18;20
1;0;1;2;3;4;5;8;6;12;7;11;9;14;10;17;13;19;15;16;18;20
2;0;1;2;3;4;5;8;6;12;7;11;9;14;10;16;13;19;15;17;18;20
3;0;1;2;3;4;5;8;6;13;7;11;9;14;10;17;12;19;15;16;18;20
4;0;1;2;3;4;5;8;6;13;7;11;9;14;10;17;12;19;15;16;18;20
5;0;1;2;3;4;5;8;6;13;7;11;9;14;10;17;12;19;15;16;18;20
6;0;1;2;3;4;5;8;6;13;7;10;9;14;11;17;12;19;15;16;18;20
7;0;1;2;3;4;5;9;6;13;7;10;8;14;12;17;11;19;15;16;18;20
8;0;1;2;3;4;5;9;6;13;7;10;8;14;12;17;11;18;15;16;ab;19
9;1;1;3;2;4;5;9;7;12;6;11;8;14;13;18;10;16;15;19;ab;17
10;1;2;3;1;6;8;7;14;11;4;10;5;12;15;17;9;19;13;18;ab;16
11;1;2;3;1;6;8;7;14;11;4;10;5;12;15;17;9;19;13;18;ab;16
12;1;2;3;1;6;8;7;14;11;4;10;5;12;15;17;9;19;13;18;ab;16
13;1;2;3;1;6;8;7;14;11;4;10;5;12;15;17;9;19;13;18;ab;16
14;1;3;5;1;7;ab;6;16;12;2;8;4;11;13;ab;9;15;10;14;ab;ab
15;1;2;5;3;7;ab;6;16;12;1;8;4;11;13;ab;9;15;10;14;ab;ab
16;0;3;5;1;10;ab;6;15;9;2;7;4;13;14;ab;11;16;8;12;ab;ab
17;0;2;5;1;10;ab;6;15;9;3;7;4;13;14;ab;11;16;8;12;ab;ab
18;0;2;5;1;10;ab;6;15;9;3;7;4;13;14;ab;11;16;8;12;ab;ab
19;0;2;5;1;10;ab;6;15;9;3;7;4;13;14;ab;11;16;8;12;ab;ab
20;0;2;5;1;10;ab;6;15;9;3;7;4;13;14;ab;11;16;8;12;ab;ab
21;0;2;5;1;10;ab;6;15;9;3;7;4;13;14;ab;11;16;8;12;ab;ab
22;1;2;5;1;8;ab;6;14;16;3;7;4;12;13;ab;9;15;11;10;ab;ab
23;1;2;5;1;9;ab;6;14;16;3;7;4;12;13;ab;8;15;11;10;ab;ab
24;0;2;5;1;9;ab;6;13;16;3;7;4;12;15;ab;8;14;11;10;ab;ab
25;0;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
26;0;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
27;0;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
28;1;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
29;1;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
30;1;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
31;1;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
32;1;2;5;1;9;ab;6;11;16;3;7;4;15;14;ab;8;12;13;10;ab;ab
33;0;2;5;1;9;ab;6;11;16;3;7;4;15;13;ab;8;12;14;10;ab;ab
34;0;2;5;1;9;ab;6;11;16;3;7;4;15;13;ab;8;12;14;10;ab;ab
35;1;2;5;1;9;ab;6;11;16;3;7;4;15;13;ab;8;12;14;10;ab;ab
36;0;2;5;1;9;ab;6;10;16;3;7;4;15;13;ab;8;12;14;11;ab;ab
37;0;2;5;1;9;ab;6;10;16;3;8;4;15;13;ab;7;12;14;11;ab;ab
38;0;2;5;1;8;ab;6;10;16;3;9;4;15;13;ab;7;12;14;11;ab;ab
39;0;2;4;1;8;ab;6;10;16;3;9;5;15;13;ab;7;12;14;11;ab;ab
40;0;2;4;1;8;ab;6;10;15;3;9;5;16;13;ab;7;12;14;11;ab;ab
41;0;2;4;1;8;ab;6;10;15;3;9;5;16;13;ab;7;12;14;11;ab;ab
42;0;1;4;2;8;ab;6;10;15;3;9;5;16;13;ab;7;12;14;11;ab;ab
43;0;1;4;2;8;ab;6;10;15;3;9;5;16;13;ab;7;12;14;11;ab;ab
44;0;1;4;2;8;ab;6;10;14;3;9;5;15;13;ab;7;12;ab;11;ab;ab
45;0;1;4;2;8;ab;6;10;14;3;9;5;15;13;ab;7;12;ab;11;ab;ab
46;0;1;4;2;8;ab;6;10;14;3;9;5;15;13;ab;7;12;ab;11;ab;ab
47;0;1;4;2;8;ab;6;10;14;3;9;5;15;13;ab;7;12;ab;11;ab;ab
48;0;1;4;2;7;ab;6;10;13;3;9;5;15;14;ab;8;12;ab;11;ab;ab
49;0;1;3;2;7;ab;6;10;14;4;9;5;15;13;ab;8;12;ab;11;ab;ab
