;sc;LEC;VER;BOT;SAI;NOR;GAS;HAM;VET;PER;GIO;OCO;RIC;STR;RAI;RUS;TSU;ALO;LAT;MAZ;MSC
0;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
1;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
2;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
3;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
4;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
5;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
6;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
7;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
8;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
9;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
10;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
11;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
12;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
13;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
14;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
15;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
16;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
17;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
18;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
19;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
20;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
21;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
22;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
23;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
24;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
25;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
26;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;19;18
27;0;np;1;2;3;4;5;6;7;8;9;10;13;11;12;15;17;14;16;18;19
28;0;np;1;2;3;4;5;8;6;7;9;10;13;11;12;15;17;14;16;18;19
29;0;np;1;ab;2;5;6;7;3;4;8;9;12;10;11;14;16;13;15;17;18
30;0;np;1;ab;2;4;6;7;5;3;8;9;12;10;11;16;15;13;14;17;18
31;0;np;1;ab;3;4;6;7;5;2;8;9;12;10;11;16;15;13;14;17;18
32;0;np;1;ab;3;4;6;7;5;2;12;8;11;9;10;16;15;13;14;17;18
33;0;np;1;ab;3;4;6;7;5;2;12;8;11;9;10;16;15;13;14;17;18
34;0;np;1;ab;2;3;6;7;5;4;12;8;11;9;10;16;15;13;14;17;18
35;0;np;1;ab;2;3;6;7;5;4;11;8;13;9;10;16;15;12;14;17;18
36;0;np;1;ab;2;3;6;7;5;4;11;10;13;8;9;16;15;12;14;17;18
37;0;np;1;ab;2;3;6;7;5;4;11;10;13;8;9;16;15;12;14;17;18
38;0;np;1;ab;2;3;6;7;5;4;11;10;13;8;9;16;15;12;14;17;18
39;0;np;1;ab;2;3;6;7;5;4;11;10;13;8;9;16;15;12;14;17;18
40;0;np;1;ab;2;3;6;7;5;4;11;10;13;8;9;16;15;12;14;17;18
41;0;np;1;ab;2;3;6;7;5;4;11;10;13;8;9;16;15;12;14;17;18
42;0;np;1;ab;2;3;6;7;5;4;10;9;13;8;11;15;14;12;16;17;18
43;0;np;1;ab;2;3;6;7;5;4;10;9;13;8;12;15;14;11;16;17;18
44;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
45;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
46;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
47;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
48;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
49;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
50;0;np;1;ab;2;3;6;7;5;4;10;9;12;8;11;15;14;13;16;17;18
