;sc;LEC;HAM;VER;GAS;SAI;PER;TSU;ALO;NOR;BOT;VET;OCO;RIC;RAI;RUS;LAT;MSC;MAZ;STR;GIO
0;0;1;2;3;5;6;4;8;7;12;10;9;11;13;14;20;17;18;19;16;15
1;0;2;1;3;5;6;4;8;7;12;10;9;11;13;14;20;16;17;19;15;18
2;0;2;1;3;5;6;4;8;7;11;10;9;18;12;13;20;15;16;17;14;19
3;0;2;1;3;5;6;4;8;7;11;10;9;ab;12;14;19;15;16;17;13;18
4;0;2;1;3;5;6;4;8;7;11;10;9;ab;12;14;19;15;16;17;13;18
5;0;3;1;2;5;6;4;8;7;11;10;9;ab;12;14;19;15;16;17;13;18
6;0;4;1;2;5;6;3;7;11;12;9;8;ab;10;14;19;15;16;17;13;18
7;0;4;1;2;5;6;3;7;14;17;9;8;ab;10;12;19;13;16;15;11;18
8;0;6;1;2;4;5;3;9;14;15;8;7;ab;10;12;18;13;19;17;11;16
9;0;10;1;2;4;5;3;12;14;13;7;6;ab;8;11;16;17;18;19;9;15
10;0;9;3;1;4;15;2;11;13;12;6;5;ab;8;10;16;17;18;19;7;14
11;0;7;4;2;6;15;1;9;12;10;11;3;ab;13;8;16;17;18;19;5;14
12;0;7;4;3;6;15;1;8;12;9;11;2;ab;13;10;16;17;18;19;5;14
13;0;7;4;2;6;14;3;8;11;9;10;1;ab;12;15;16;17;18;19;5;13
14;0;7;4;2;6;14;3;8;11;9;10;1;ab;12;15;16;17;18;19;5;13
15;0;7;4;2;6;14;3;8;12;9;10;1;ab;11;15;16;17;18;19;5;13
16;0;7;4;2;6;14;3;8;12;9;10;1;ab;11;15;16;17;18;19;5;13
17;0;7;4;1;6;14;3;8;12;9;10;2;ab;11;15;16;17;18;19;5;13
18;0;6;3;1;5;14;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;13
19;0;6;3;1;5;14;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;13
20;0;6;3;1;5;14;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;13
21;0;6;3;1;5;14;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;13
22;0;6;3;1;5;13;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;14
23;0;6;3;1;5;13;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;14
24;0;6;3;1;5;13;2;8;12;9;10;7;ab;11;15;16;17;18;19;4;14
25;0;6;3;1;5;12;2;8;13;9;10;7;ab;11;15;16;17;18;19;4;14
26;0;6;3;1;5;12;2;8;13;9;10;7;ab;11;15;16;17;18;19;4;14
27;0;6;3;1;5;12;2;8;13;9;10;7;ab;11;15;16;17;18;19;4;14
28;0;6;3;1;5;12;2;8;13;9;10;7;ab;11;15;16;17;18;19;4;14
29;1;5;3;1;4;11;2;7;12;8;9;6;ab;10;14;15;16;17;18;ab;13
30;1;5;3;1;4;11;2;7;12;8;9;6;ab;10;14;15;16;17;18;ab;13
31;1;5;3;1;4;11;2;7;12;8;9;6;ab;10;14;15;16;17;18;ab;13
32;1;5;3;1;4;11;2;7;12;8;9;6;ab;10;14;15;16;17;18;ab;13
33;1;5;3;1;4;11;2;7;13;8;9;6;ab;10;12;16;14;17;18;ab;15
34;1;5;3;1;4;11;2;7;14;8;9;6;ab;10;12;16;13;17;18;ab;15
35;0;6;3;1;5;9;2;7;11;8;13;4;ab;10;12;16;15;17;18;ab;14
36;0;6;3;1;5;9;2;7;11;8;13;4;ab;10;12;16;15;17;18;ab;14
37;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
38;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
39;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
40;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
41;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
42;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
43;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
44;0;6;3;1;5;9;2;7;11;8;14;4;ab;10;12;15;16;17;18;ab;13
45;0;5;2;18;4;8;1;6;10;7;13;3;ab;9;11;14;15;16;17;ab;12
46;1;5;2;18;4;8;1;6;10;7;13;3;ab;9;11;14;15;16;17;ab;12
47;1;5;2;18;4;8;1;6;10;7;14;3;ab;9;11;15;13;16;17;ab;12
48;1;5;2;18;4;8;1;6;10;7;13;3;ab;9;11;17;14;15;16;ab;12
49;0;3;16;18;4;8;1;7;6;5;12;2;ab;9;10;17;13;15;14;ab;11
50;0;4;16;18;3;8;1;7;6;5;12;2;ab;9;10;17;13;14;15;ab;11
