;sc;VER;HAM;BOT;PER;SAI;GAS;LEC;NOR;ALO;RIC;OCO;VET;GIO;RUS;MSC;LAT;RAI;MAZ;STR;TSU
0;0;2;1;3;4;5;6;7;10;8;9;11;12;13;17;19;15;14;20;16;18
1;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;19;16;14;20;15;17
2;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;19;16;14;20;15;17
3;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;14;19;15;16
4;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;14;19;15;16
5;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;14;19;15;16
6;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;14;19;15;16
7;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;14;19;15;16
8;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;15;19;14;16
9;0;2;1;3;4;5;6;7;10;8;9;12;11;13;18;20;17;15;19;14;16
10;0;2;1;3;4;5;6;7;9;10;8;12;11;13;18;20;17;15;19;14;16
11;0;2;1;3;4;5;6;7;9;10;8;12;11;13;18;20;17;15;19;14;16
12;0;2;1;3;4;5;6;7;9;11;8;12;10;13;17;20;18;15;19;14;16
13;0;2;1;3;4;5;6;18;8;10;7;11;9;13;16;20;17;14;19;12;15
14;0;2;1;3;4;5;6;17;8;10;7;11;9;13;15;20;16;14;18;12;19
15;0;2;1;3;4;5;6;17;7;9;16;10;8;12;14;20;15;13;18;11;19
16;0;2;1;4;3;13;15;14;5;7;16;8;6;10;19;20;12;11;17;9;18
17;0;3;1;4;2;13;14;11;5;15;12;7;6;9;18;20;19;10;16;8;17
18;0;3;2;4;1;13;14;11;5;15;12;8;6;9;18;20;19;10;16;7;17
19;0;2;3;4;1;13;14;11;5;15;12;8;6;9;17;20;19;10;18;7;16
20;0;2;3;4;1;13;14;11;5;15;12;8;6;9;17;20;19;10;18;7;16
21;0;2;3;4;1;13;14;10;5;15;12;8;6;9;17;20;19;11;18;7;16
22;0;2;3;4;1;12;13;10;5;15;11;8;6;9;17;20;18;14;19;7;16
23;0;1;2;3;4;11;12;8;13;15;10;7;5;9;17;20;18;14;19;6;16
24;0;1;2;3;4;11;12;8;14;15;9;7;5;10;17;20;18;13;19;6;16
25;0;1;2;3;4;10;11;7;13;15;9;8;5;12;17;20;18;14;19;6;16
26;0;1;2;3;4;9;10;7;11;14;8;12;5;13;17;20;18;15;19;6;16
27;0;1;2;3;4;9;10;8;11;12;7;16;5;18;15;20;17;13;19;6;14
28;0;1;2;3;4;8;11;10;9;12;7;17;5;18;15;20;16;13;19;6;14
29;0;1;2;3;4;8;10;11;9;12;7;17;5;18;15;20;16;13;19;6;14
30;0;1;2;3;4;9;10;12;8;11;7;16;5;18;15;19;17;13;20;6;14
31;0;4;1;2;3;9;10;12;8;11;7;16;5;17;15;19;18;13;20;6;14
32;0;4;1;2;3;9;10;12;7;11;8;15;5;16;14;19;17;18;20;6;13
33;0;4;1;2;3;8;9;11;6;10;7;15;5;16;14;19;17;18;20;13;12
34;0;3;1;2;4;8;9;11;6;10;7;15;5;16;13;19;17;18;20;14;12
35;0;3;1;2;4;9;8;11;6;10;7;15;5;16;13;19;17;18;20;14;12
36;0;3;1;2;4;9;7;10;5;8;6;15;11;16;13;19;17;18;20;14;12
37;0;3;1;2;4;9;7;16;5;8;6;14;10;15;12;19;17;18;20;13;11
38;0;3;1;2;4;9;7;16;5;8;6;14;10;15;13;19;18;17;20;12;11
39;0;3;1;2;4;9;7;16;5;8;6;14;10;15;13;19;18;17;20;12;11
40;0;3;1;2;4;9;7;16;5;8;6;14;10;15;13;19;18;17;20;12;11
41;0;3;1;2;4;9;7;16;5;8;6;14;10;15;13;19;18;17;20;11;12
42;0;3;1;2;4;9;7;16;5;8;6;14;10;15;13;19;18;17;20;11;12
43;0;2;1;3;4;10;7;16;5;8;6;14;9;15;13;19;18;17;20;11;12
44;0;2;1;3;4;10;7;16;5;8;6;14;9;15;13;19;18;17;20;11;12
45;0;2;1;3;4;10;7;16;5;8;6;14;9;15;13;19;18;17;20;11;12
46;0;2;1;3;4;10;7;16;5;8;6;14;9;15;13;19;18;17;20;11;12
47;0;2;1;3;4;11;7;16;5;8;6;14;9;15;13;19;18;17;20;10;12
48;0;2;1;4;3;11;7;16;5;8;6;14;9;15;13;19;18;17;20;10;12
49;0;2;1;4;3;11;7;16;5;8;6;14;9;15;12;19;18;17;20;10;13
50;0;2;1;4;3;11;7;16;5;8;6;14;9;15;12;19;18;17;20;10;13
51;0;1;2;4;3;11;7;16;5;8;6;14;9;15;12;19;18;17;20;10;13
52;0;1;2;4;3;11;7;16;5;8;6;14;9;15;12;19;18;17;20;10;13
