;sc;VER;HAM;NOR;PER;BOT;GAS;LEC;ALO;STR;RUS;TSU;SAI;RIC;VET;GIO;LAT;OCO;RAI;MSC;MAZ
0;0;1;2;3;4;5;20;14;7;6;8;10;11;9;12;18;19;15;13;17;16
1;0;1;2;3;4;5;ab;18;7;6;8;10;11;9;12;17;19;14;13;16;15
2;0;1;2;3;4;5;ab;18;7;6;8;10;11;9;12;16;19;14;13;17;15
3;0;1;2;3;4;5;ab;18;7;6;8;10;11;9;12;15;19;14;13;17;16
4;0;1;2;3;4;5;ab;18;7;6;8;10;11;9;12;15;19;14;13;17;16
5;0;1;2;3;4;5;ab;18;7;6;8;10;11;9;12;15;19;14;13;17;16
6;0;1;2;3;4;5;ab;18;7;6;8;9;10;13;11;15;19;14;12;17;16
7;0;1;2;3;4;5;ab;18;7;6;8;9;10;13;11;15;19;14;12;17;16
8;0;1;2;3;4;5;ab;18;7;6;8;9;10;13;11;15;19;14;12;17;16
9;0;1;2;4;3;5;ab;18;7;6;8;9;10;13;11;15;19;14;12;17;16
10;0;1;2;5;3;4;ab;18;7;6;8;9;10;13;11;15;19;14;12;17;16
11;0;1;2;5;3;4;ab;18;7;6;8;9;10;13;11;15;19;14;12;17;16
12;0;1;2;5;3;4;ab;17;7;6;8;9;10;13;11;15;19;14;12;18;16
13;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
14;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
15;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
16;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
17;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
18;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
19;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;18;17
20;0;1;2;5;3;4;ab;16;7;6;8;9;10;13;11;15;19;14;12;17;18
21;0;1;2;5;3;4;ab;15;7;6;8;9;10;13;11;16;19;14;12;17;18
22;0;1;2;5;3;4;ab;15;7;6;8;9;10;13;11;16;19;14;12;17;18
23;0;1;2;5;3;4;ab;14;7;6;8;9;10;13;11;17;19;15;12;16;18
24;0;1;2;5;3;4;ab;14;7;6;11;8;9;13;10;17;19;15;12;16;18
25;0;1;2;5;4;3;ab;13;7;6;17;11;8;12;9;15;19;14;10;16;18
26;0;1;2;4;5;3;ab;11;8;6;18;14;7;10;12;15;19;13;9;16;17
27;0;1;2;3;5;4;ab;10;12;7;18;13;6;9;14;15;19;11;8;16;17
28;0;1;2;3;5;4;ab;9;12;11;18;13;6;8;14;15;19;10;7;16;17
29;0;1;2;3;5;4;ab;9;12;11;18;13;6;8;14;15;19;10;7;16;17
30;0;1;2;5;4;3;ab;9;12;11;18;13;6;8;14;15;19;10;7;16;17
31;0;1;2;6;4;3;ab;9;12;11;18;13;5;8;14;15;19;10;7;16;17
32;0;1;2;6;4;3;ab;9;12;11;18;13;5;8;14;15;19;10;7;16;17
33;0;1;2;6;4;3;ab;9;12;11;18;13;5;8;14;15;19;10;7;17;16
34;0;1;2;6;4;3;ab;9;12;11;18;13;5;8;14;15;19;10;7;17;16
35;0;1;2;6;4;3;ab;8;12;10;18;13;5;7;14;15;19;11;9;17;16
36;0;1;2;6;4;3;ab;8;10;9;ab;11;5;7;12;13;18;15;14;17;16
37;0;1;2;6;4;3;ab;14;9;8;ab;10;5;7;11;12;18;15;13;17;16
38;0;1;2;6;4;3;ab;14;9;8;ab;10;5;7;11;12;18;15;13;17;16
39;0;1;2;6;4;3;ab;14;9;8;ab;10;5;7;11;12;18;15;13;17;16
40;0;1;2;6;4;3;ab;13;9;7;ab;10;5;8;11;12;18;15;14;16;17
41;0;1;2;5;4;3;ab;12;8;6;ab;9;7;15;10;11;18;14;13;16;17
42;0;1;2;5;4;3;ab;12;8;6;ab;9;7;15;10;11;18;14;13;16;17
