;sc;VER;NOR;PER;HAM;BOT;GAS;TSU;RUS;STR;SAI;VET;LEC;RIC;ALO;GIO;RAI;OCO;LAT;MSC;MAZ
0;1;1;2;3;4;5;6;7;13;8;14;9;10;11;16;12;15;ab;18;17;19
1;1;1;2;3;4;5;6;7;12;8;13;9;10;11;15;19;14;ab;17;16;18
2;1;1;2;3;4;5;6;7;12;8;13;9;10;11;15;19;14;ab;17;16;18
3;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;18;14;ab;17;16;19
4;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;18;14;ab;16;17;19
5;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;17;14;ab;16;18;19
6;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;17;14;ab;16;18;19
7;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;17;14;ab;16;18;19
8;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;17;14;ab;16;18;19
9;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;17;14;ab;16;18;19
10;0;1;2;10;3;4;5;6;12;7;13;8;11;9;15;17;14;ab;16;18;19
11;0;1;2;9;3;4;5;10;13;6;12;7;11;8;15;17;14;ab;16;18;19
12;0;1;2;9;3;4;5;19;12;6;11;7;10;8;14;16;13;ab;15;17;18
13;0;1;2;8;3;4;18;19;11;9;10;5;7;6;13;15;12;ab;14;16;17
14;0;1;2;8;3;4;17;18;10;19;9;5;7;6;12;14;11;ab;13;15;16
15;0;1;2;8;3;4;16;18;10;19;9;5;7;6;12;14;11;ab;13;15;17
16;0;1;2;7;3;4;16;17;10;19;8;9;6;5;12;14;11;ab;13;15;18
17;0;1;2;7;3;4;14;16;9;17;8;18;6;5;11;13;10;ab;12;15;19
18;0;1;2;7;3;4;14;15;9;18;8;17;6;5;11;13;10;ab;12;16;19
19;0;1;3;7;2;4;14;15;9;18;8;16;6;5;11;13;10;ab;12;17;19
20;0;1;3;7;2;4;14;15;9;17;8;16;6;5;11;13;10;ab;12;18;19
21;0;1;3;7;2;4;14;15;9;17;8;16;6;5;11;13;10;ab;12;18;19
22;0;1;3;7;2;4;13;15;9;17;8;16;6;5;11;14;10;ab;12;18;19
23;0;1;3;7;2;4;13;15;9;17;8;16;6;5;11;14;10;ab;12;18;19
24;0;1;3;7;2;4;12;15;9;17;8;16;6;5;11;14;10;ab;13;18;19
25;0;1;3;7;2;4;12;15;9;17;8;16;6;5;11;14;10;ab;13;18;19
26;0;1;3;7;2;4;12;15;9;17;8;16;6;5;11;14;10;ab;13;18;19
27;0;1;3;7;2;4;12;15;9;17;8;16;6;5;11;14;10;ab;13;18;19
28;0;1;3;6;2;4;12;14;9;16;8;15;5;7;11;17;10;ab;13;18;19
29;0;1;3;6;2;4;11;14;10;16;7;15;5;12;9;18;8;ab;13;17;19
30;0;1;4;6;2;3;10;13;16;15;7;14;5;11;9;18;8;ab;12;17;19
31;0;1;4;7;2;3;9;13;16;15;6;14;5;10;11;18;8;ab;12;17;19
32;0;1;4;10;2;3;8;11;15;13;6;12;5;9;16;18;7;ab;14;17;19
