;sc;LEC;VER;SAI;PER;HAM;BOT;MAG;ALO;RUS;GAS;OCO;MSC;NOR;ALB;ZHO;TSU;HUL;RIC;STR;LAT
0;0;1;2;3;6;4;14;5;9;7;8;10;13;16;11;19;12;15;20;17;18
1;0;1;2;3;6;4;14;5;9;7;8;10;13;17;11;18;12;15;20;16;19
2;0;1;2;3;5;4;14;6;9;7;8;10;13;18;11;17;12;15;20;16;19
3;0;1;2;3;5;4;14;6;9;7;8;10;13;18;11;16;12;15;20;17;19
4;0;1;2;3;5;4;14;7;9;6;8;10;13;18;12;15;11;16;20;17;19
5;0;1;2;3;5;4;13;7;9;6;8;10;14;18;12;15;11;16;19;17;20
6;0;1;2;3;5;4;13;7;9;6;8;10;15;18;12;14;11;16;20;17;19
7;0;1;2;3;5;4;12;7;10;6;8;9;15;18;13;14;11;16;20;17;19
8;0;1;2;3;5;4;12;7;10;6;8;9;15;18;13;14;11;17;20;16;19
9;0;1;2;3;4;5;12;7;10;6;8;9;16;18;14;13;11;17;20;15;19
10;0;1;2;3;4;5;12;7;11;6;8;9;16;18;14;13;10;17;20;15;19
11;0;1;2;3;4;12;10;6;20;5;7;8;17;16;13;11;9;15;18;14;19
12;0;1;2;3;4;11;10;6;17;5;7;8;20;16;14;12;9;15;18;13;19
13;0;1;2;4;3;10;11;6;14;5;7;8;19;16;20;12;9;15;17;13;18
14;0;1;4;5;2;6;17;9;11;3;12;16;18;14;19;8;7;13;15;10;20
15;0;1;2;3;4;5;16;7;9;6;8;11;17;13;19;18;14;12;15;10;20
16;0;1;2;3;4;5;13;7;9;6;8;11;17;14;19;16;12;15;18;10;20
17;0;1;2;3;4;5;13;7;9;6;8;10;16;14;18;15;11;17;20;12;19
18;0;1;2;3;4;5;12;7;9;6;8;10;14;15;16;13;11;17;20;19;18
19;0;1;2;3;4;5;12;7;9;6;8;10;14;15;16;13;11;20;19;18;17
20;0;1;2;3;4;5;12;7;9;6;8;10;14;15;16;13;11;20;19;17;18
21;0;1;2;3;4;5;12;7;9;6;8;10;14;16;15;13;11;20;19;17;18
22;0;1;2;3;4;5;12;7;9;6;8;10;14;16;15;13;11;20;19;17;18
23;0;1;2;3;4;5;12;7;9;6;8;10;14;17;15;13;11;20;19;16;18
24;0;1;2;3;4;5;12;7;10;6;8;9;14;20;15;13;11;19;18;16;17
25;0;1;2;3;4;5;11;7;14;6;8;9;13;20;15;12;10;19;18;16;17
26;0;1;2;3;4;5;11;7;14;6;8;9;13;20;16;12;10;19;18;15;17
27;0;1;2;3;4;8;11;6;14;5;7;9;13;20;16;12;10;19;17;15;18
28;0;1;2;3;4;8;10;6;14;5;7;9;13;20;16;12;11;19;17;15;18
29;0;1;2;3;4;8;10;6;12;5;7;9;13;20;16;11;14;19;17;15;18
30;0;1;4;2;3;7;9;6;11;5;8;13;12;20;16;10;14;19;17;15;18
31;0;3;4;1;2;7;9;6;11;5;8;12;13;19;16;10;14;18;17;15;20
32;0;3;4;1;2;6;8;7;11;5;10;12;14;19;16;9;13;18;17;15;20
33;0;1;2;3;4;5;8;6;11;7;10;12;14;17;16;9;13;18;19;15;20
34;0;1;2;3;4;5;7;10;11;6;9;12;14;17;16;8;13;18;19;15;20
35;0;1;2;3;4;5;7;9;11;6;10;12;15;16;18;8;13;17;19;14;20
36;0;1;2;3;4;5;13;7;10;6;8;11;15;16;18;9;12;17;19;14;20
37;0;1;2;3;4;5;12;7;10;6;8;9;15;16;17;13;11;20;18;14;19
38;0;1;2;3;4;5;12;7;10;6;8;9;14;15;17;13;11;20;18;16;19
39;0;1;2;3;4;5;12;7;11;6;8;9;14;15;17;13;10;20;18;16;19
40;0;1;2;3;4;5;12;7;11;6;8;9;14;16;17;13;10;20;18;15;19
41;0;1;2;3;4;5;11;7;12;6;8;9;14;19;16;13;10;20;17;15;18
42;0;1;2;3;4;5;11;7;14;6;8;9;13;18;16;12;10;20;17;15;19
43;0;1;3;2;5;4;9;7;14;6;8;12;13;18;16;11;10;20;17;15;19
44;0;1;2;3;4;6;8;7;13;5;ab;10;11;16;15;9;12;19;18;14;17
45;1;1;2;3;4;5;8;7;12;6;ab;9;10;17;14;13;11;19;16;15;18
46;1;1;2;3;4;5;8;7;12;6;ab;9;10;17;15;13;11;19;16;14;18
47;1;1;2;3;4;5;8;7;12;6;ab;9;10;17;15;13;11;19;16;14;18
48;1;1;2;3;4;5;8;7;12;6;ab;9;10;17;15;13;11;19;16;14;18
49;1;1;2;3;4;5;8;7;12;6;ab;9;10;17;15;13;11;19;16;14;18
50;0;1;2;3;4;5;8;7;11;6;ab;9;12;17;15;13;10;19;16;14;18
51;0;1;2;3;4;5;8;7;11;6;ab;9;13;17;15;12;10;19;16;14;18
52;0;1;2;3;4;5;8;7;11;6;ab;9;13;17;15;12;10;19;16;14;18
53;0;1;13;2;3;4;7;6;10;5;ab;8;12;17;15;11;9;19;16;14;18
54;0;1;ab;2;3;4;7;6;10;5;ab;8;12;16;14;11;9;18;15;13;17
55;0;1;ab;2;3;4;7;6;10;5;ab;8;12;16;14;11;9;18;15;13;17
56;0;1;ab;2;ab;3;6;5;9;4;ab;7;11;15;13;10;8;17;14;12;16
