;sc;VER;LEC;PER;SAI;NOR;RIC;BOT;MAG;ALO;MSC;RUS;TSU;VET;HAM;STR;OCO;GAS;ALB;LAT;ZHO
0;1;1;4;2;ab;3;19;7;5;8;17;6;10;9;12;11;13;14;15;16;18
1;1;1;4;2;ab;3;19;7;5;8;17;6;10;9;12;11;13;14;15;16;18
2;1;1;4;2;ab;3;19;7;5;8;17;6;10;9;12;11;13;14;15;16;18
3;1;1;4;2;ab;3;19;7;5;8;17;6;10;9;12;11;13;14;15;16;18
4;0;1;4;2;ab;3;19;7;5;11;17;6;9;8;12;10;13;14;15;16;18
5;0;1;4;2;ab;3;18;7;5;19;16;6;9;8;11;10;12;13;14;15;17
6;0;1;4;2;ab;3;18;7;5;ab;16;6;9;8;11;10;12;13;14;15;17
7;0;1;3;2;ab;4;18;7;5;ab;16;6;9;8;11;10;12;13;14;15;17
8;0;1;3;2;ab;4;18;7;5;ab;16;6;9;8;11;10;12;13;14;15;17
9;0;1;3;2;ab;4;18;7;5;ab;16;6;9;8;11;10;12;13;14;15;17
10;0;1;3;2;ab;4;18;7;5;ab;16;6;9;8;11;10;12;13;14;15;17
11;0;1;3;2;ab;4;18;7;6;ab;16;5;9;8;11;10;12;13;14;15;17
12;0;1;3;2;ab;4;18;6;7;ab;16;5;9;8;11;10;12;13;14;15;17
13;0;1;3;2;ab;4;18;6;7;ab;17;5;9;8;11;10;12;13;14;15;16
14;0;1;3;2;ab;4;18;6;7;ab;17;5;9;8;11;10;12;13;14;15;16
15;0;1;3;2;ab;4;18;6;7;ab;17;5;9;8;11;10;12;13;14;15;16
16;0;1;3;2;ab;4;18;6;7;ab;16;5;8;9;11;10;12;13;17;14;15
17;0;1;2;3;ab;4;18;6;7;ab;14;5;8;15;10;9;11;16;17;12;13
18;0;1;2;4;ab;3;15;6;8;ab;17;5;9;7;14;10;11;12;13;16;18
19;0;1;3;2;ab;4;15;6;8;ab;17;5;9;7;14;10;11;13;12;16;18
20;0;1;3;2;ab;4;15;6;8;ab;17;5;9;7;14;10;11;13;12;16;18
21;0;1;3;2;ab;4;15;6;8;ab;17;5;9;7;14;10;11;13;12;16;18
22;0;1;3;2;ab;4;15;6;8;ab;17;5;9;7;14;10;11;13;12;16;18
23;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
24;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
25;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
26;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
27;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
28;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
29;0;1;3;2;ab;4;15;6;8;ab;18;5;9;7;14;10;11;13;12;16;17
30;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
31;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
32;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
33;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
34;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
35;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
36;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
37;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
38;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;15;16
39;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
40;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
41;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
42;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
43;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
44;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
45;0;1;3;2;ab;4;18;6;8;ab;17;5;9;7;14;10;11;13;12;16;15
46;0;1;3;2;ab;4;18;6;9;ab;17;5;8;7;14;10;11;13;12;16;15
47;0;1;3;2;ab;4;18;6;9;ab;17;5;8;7;14;10;11;13;12;16;15
48;0;1;3;2;ab;4;18;6;9;ab;17;5;8;7;14;10;11;13;12;16;15
49;0;1;4;2;ab;3;18;6;9;ab;17;5;8;7;14;10;11;13;12;16;15
50;0;1;3;2;ab;4;18;6;9;ab;17;5;8;7;14;10;11;13;12;16;15
51;0;1;3;2;ab;4;18;6;9;ab;17;5;8;7;14;10;11;13;12;16;15
52;0;1;5;2;ab;3;17;6;9;ab;18;4;8;7;14;10;11;13;12;16;15
53;0;1;9;2;ab;3;17;5;8;ab;18;4;6;7;14;10;11;13;12;16;15
54;0;1;9;2;ab;3;18;5;8;ab;17;4;6;7;14;10;11;13;12;16;15
55;0;1;8;2;ab;3;18;5;9;ab;17;4;6;7;14;10;11;13;12;16;15
56;0;1;8;2;ab;3;18;5;9;ab;17;4;6;7;14;10;11;13;12;16;15
57;0;1;8;2;ab;3;18;5;9;ab;17;4;6;7;14;10;11;13;12;16;15
58;0;1;7;2;ab;3;18;5;9;ab;17;4;6;8;14;10;11;13;12;16;15
59;0;1;7;2;ab;3;18;5;9;ab;17;4;6;8;14;10;11;13;12;16;15
60;0;1;7;2;ab;3;18;5;9;ab;17;4;6;8;14;10;11;13;12;16;15
61;0;1;6;2;ab;3;18;5;9;ab;17;4;7;8;14;10;11;13;12;16;15
62;0;1;6;2;ab;3;18;5;9;ab;17;4;7;8;13;10;14;12;11;16;15
