;race_idx;race_name;ALE;BAR;BUT;COU;DLR;DIN;FIS;FRE;GEN;HAK;HEI;HER;IRV;MAZ;SAL;MSC;RSC;TRU;VER;VIL;WUR;ZON
0;1;AUS;ab;2;ab;ab;ab;ab;5;ab;8;ab;9;ab;ab;ab;dsq;1;3;ab;ab;4;7;6
1;2;BRA;ab;ab;6;dsq;8;f;2;3;ab;ab;ab;ab;ab;10;f;1;5;4;7;ab;ab;9
2;3;SMR;ab;4;ab;3;ab;8;11;ab;ab;2;ab;10;7;13;6;1;ab;15;14;5;9;12
3;4;GBR;10;ab;5;1;ab;11;7;17;14;2;ab;12;13;15;8;3;4;6;ab;16;9;ab
4;5;ESP;ab;3;17;2;ab;ab;9;6;14;1;16;13;11;15;7;5;4;12;ab;ab;10;8
5;6;EUR;9;4;10;3;6;7;5;ab;ab;2;exc;11;ab;8;ab;1;ab;ab;ab;ab;12;ab
6;7;MCO;ab;2;ab;1;ab;ab;3;10;ab;6;8;9;4;ab;5;ab;ab;ab;ab;7;ab;ab
7;8;CAN;ab;2;11;7;ab;10;3;ab;16;4;ab;ab;13;12;ab;1;14;6;5;15;9;8
8;9;FRA;14;3;8;1;ab;11;9;7;15;2;12;ab;13;ab;10;ab;5;6;ab;4;ab;ab
9;10;AUT;ab;3;5;2;ab;9;ab;ab;8;1;ab;7;f;12;6;ab;ab;ab;ab;4;10;ab
10;11;DEU;ab;1;4;3;6;ab;ab;ab;ab;2;12;ab;10;11;5;ab;7;9;ab;8;ab;ab
11;12;HUN;ab;4;9;3;16;ab;ab;6;15;1;ab;ab;8;ab;10;2;5;7;13;12;11;14
12;13;BEL;ab;ab;5;4;16;11;ab;6;14;1;ab;8;10;17;9;2;3;ab;15;7;13;12
13;14;ITA;12;ab;ab;ab;ab;8;11;ab;9;2;ab;ab;ab;10;7;1;3;ab;4;ab;5;6
14;15;USA;ab;2;ab;5;ab;8;ab;3;12;ab;9;11;7;ab;ab;1;ab;ab;ab;4;10;6
15;16;JPN;ab;4;5;3;12;11;14;ab;ab;2;ab;7;8;15;10;1;ab;13;ab;6;ab;9
16;17;MYS;11;3;ab;2;ab;ab;9;ab;ab;4;ab;ab;6;13;8;1;ab;12;10;5;7;ab
