;race_idx;race_name;ALE;ALO;BAR;BER;BUR;BUT;COU;DLR;FIS;FRE;HAK;HEI;IRV;MAR;MON;PAN;RAI;MSC;RSC;TRU;VER;VIL
0;1;AUS;9;12;3;ab;8;14;2;-;13;5;ab;4;11;ab;ab;7;6;1;ab;ab;10;ab
1;2;MYS;9;13;2;ab;10;11;3;-;ab;4;6;ab;ab;14;ab;ab;ab;1;5;8;7;ab
2;3;BRA;8;ab;ab;ab;ab;10;1;-;6;ab;ab;3;ab;9;ab;4;ab;2;ab;5;ab;7
3;4;SMR;9;ab;3;10;11;12;2;-;ab;6;4;7;ab;ab;ab;8;ab;ab;1;5;ab;ab
4;5;ESP;10;13;ab;ab;11;15;5;ab;14;ab;9;6;ab;16;2;7;8;1;ab;4;12;3
5;6;AUT;10;ab;3;ab;11;ab;1;ab;ab;ab;ab;9;7;ab;ab;5;4;2;ab;dsq;6;8
6;7;MCO;6;ab;2;9;ab;7;5;ab;ab;ab;ab;ab;3;ab;ab;ab;10;1;ab;ab;8;4
7;8;CAN;5;ab;ab;ab;8;ab;ab;6;ab;f;3;ab;ab;9;ab;ab;4;2;1;11;10;ab
8;9;EUR;15;14;5;ab;12;13;3;8;11;ab;6;ab;7;ab;2;ab;10;1;4;ab;ab;9
9;10;FRA;12;17;3;ab;10;16;4;14;11;8;np;6;ab;15;ab;9;7;1;2;5;13;ab
10;11;GBR;11;16;3;14;ab;15;ab;12;13;7;1;6;9;nq;4;ab;5;2;ab;ab;10;8
11;12;DEU;6;10;2;8;ab;5;ab;ab;4;-;ab;ab;ab;ab;ab;7;ab;ab;1;ab;9;3
12;13;HUN;10;ab;2;ab;ab;ab;3;11;ab;ab;5;6;ab;ab;8;ab;7;1;4;ab;12;9
13;14;BEL;6;ab;5;12;ab;ab;2;ab;3;9;4;ab;ab;13;ab;11;ab;1;7;ab;10;8
14;15;ITA;8;13;2;ab;-;ab;ab;5;10;ab;ab;11;ab;-;1;9;7;4;3;ab;ab;6
15;16;USA;7;ab;15;13;-;9;3;12;8;10;1;6;5;-;ab;11;ab;2;ab;4;ab;ab
16;17;JPN;ab;11;5;14;-;7;3;ab;17;12;4;9;ab;-;2;13;ab;1;6;8;15;10
