;race_idx;race_name;BAR;BER;BUT;COU;DLR;FIS;FRE;HEI;IRV;MAS;MCN;MON;PAN;RAI;SAL;SAT;MSC;RSC;TRU;VIL;WEB;YOO
0;1;AUS;ab;dsq;ab;ab;8;ab;dsq;ab;4;ab;ab;2;ab;3;6;ab;1;ab;ab;ab;5;7
1;2;MYS;ab;ab;4;ab;10;13;11;5;ab;6;7;2;ab;ab;12;9;3;1;ab;8;ab;ab
2;3;BRA;ab;ab;4;3;8;ab;ab;ab;7;ab;ab;5;ab;12;6;9;1;2;ab;10;11;13
3;4;SMR;2;ab;5;6;ab;ab;ab;10;ab;8;ab;4;ab;ab;ab;ab;1;3;9;7;11;nq
4;5;ESP;np;ab;12;3;ab;ab;6;4;ab;5;8;2;ab;ab;9;ab;1;11;10;7;f;f
5;6;AUT;2;ab;7;6;ab;5;11;ab;ab;ab;9;3;ab;ab;8;ab;1;4;ab;10;12;ab
6;7;MCO;7;12;ab;1;10;5;6;8;9;ab;ab;ab;ab;ab;ab;ab;2;3;4;ab;11;ab
7;8;CAN;3;ab;15;2;ab;5;13;12;ab;9;ab;ab;8;4;ab;10;1;7;6;ab;11;14
8;9;EUR;1;10;5;ab;11;ab;13;7;ab;6;14;ab;9;3;ab;16;2;4;8;12;15;ab
9;10;GBR;2;ab;12;10;11;7;ab;6;ab;9;ab;3;5;ab;ab;ab;1;8;ab;4;ab;nq
10;11;FRA;np;nq;6;3;9;f;nq;7;ab;ab;11;4;ab;2;ab;ab;1;5;ab;ab;8;10
11;12;DEU;4;ab;ab;5;ab;ab;ab;6;ab;7;ab;2;ab;ab;9;8;1;3;ab;ab;ab;nq
12;13;HUN;1;-;ab;5;13;6;-;9;ab;7;14;11;12;4;15;10;2;3;8;ab;16;-
13;14;BEL;2;f;ab;4;ab;ab;f;10;6;ab;9;3;12;ab;7;11;1;5;ab;8;ab;-
14;15;ITA;1;-;5;7;ab;8;-;10;3;ab;ab;ab;6;ab;11;12;2;ab;4;9;ab;13
15;16;USA;1;-;8;3;ab;7;13;9;10;-;15;4;12;ab;14;11;2;16;5;6;ab;ab
16;17;JPN;2;-;6;ab;ab;ab;-;7;9;ab;np;4;ab;3;8;5;1;11;ab;ab;10;ab
