;race_idx;race_name;BAR;BER;BUT;COU;DLR;FIS;FRE;HEI;IRV;MAS;MCN;MON;PAN;RAI;SAL;SAT;MSC;RSC;TRU;VIL;WEB;YOO
0;1;AUS;1;17;11;4;20;8;15;10;19;9;16;6;12;5;14;22;2;3;7;13;18;21
1;2;MYS;3;16;8;6;17;9;11;7;20;14;19;2;18;5;10;15;1;4;12;13;21;22
2;3;BRA;8;21;7;4;11;14;18;9;13;12;16;1;17;5;10;19;2;3;6;15;20;22
3;4;SMR;2;20;9;6;21;15;13;7;18;11;17;4;12;5;16;14;1;3;8;10;19;-
4;5;ESP;2;14;6;7;16;12;10;8;20;11;19;4;13;5;17;18;1;3;9;15;-;-
5;6;AUT;1;12;13;8;19;15;11;5;20;7;14;4;9;6;10;18;3;2;16;17;21;22
6;7;MCO;5;15;8;2;20;11;12;17;21;13;10;1;18;6;9;16;3;4;7;14;19;22
7;8;CAN;3;17;13;8;16;6;19;7;14;12;20;1;11;5;18;15;2;4;10;9;21;22
8;9;EUR;4;21;8;5;16;18;15;9;17;11;13;1;12;6;10;14;3;2;7;19;20;22
9;10;GBR;2;18;12;6;21;17;16;10;19;11;15;1;13;5;8;14;3;4;7;9;20;-
10;11;FRA;3;-;7;6;15;-;-;10;9;12;17;1;11;4;16;14;2;5;8;13;18;19
11;12;DEU;3;18;13;9;20;6;15;10;16;14;17;4;7;5;19;12;1;2;8;11;21;-
12;13;HUN;1;-;9;10;15;5;-;8;16;7;18;4;12;11;17;14;2;3;6;13;19;-
13;14;BEL;3;-;10;6;11;14;-;18;8;17;13;5;15;2;9;16;1;4;7;12;19;-
14;15;ITA;4;-;17;7;8;12;-;15;5;14;13;1;16;6;10;18;2;3;11;9;19;20
15;16;USA;2;-;14;3;17;9;11;10;13;-;16;4;12;6;19;15;1;5;8;7;18;20
16;17;JPN;2;-;10;3;17;8;-;12;14;15;18;6;16;4;13;7;1;5;11;9;19;20
