;race_idx;race_name;ALO;BAR;BUT;COU;DMA;FIR;FIS;FRE;HEI;MON;PAN;PIZ;RAI;MSC;RSC;TRU;VER;VIL;WEB;WIL
0;1;AUS;10;2;8;11;16;17;13;4;7;3;5;18;15;1;9;12;19;6;14;20
1;2;MYS;1;5;9;4;11;20;14;13;6;8;10;15;7;3;17;2;18;12;16;19
2;3;BRA;10;1;11;2;18;16;8;14;12;9;15;17;4;7;6;5;19;13;3;20
3;4;SMR;8;3;9;12;13;19;17;14;11;4;10;15;6;1;2;16;20;7;5;18
4;5;ESP;3;2;5;8;13;15;17;10;14;9;6;16;20;1;7;4;19;11;12;18
5;6;AUT;19;5;7;14;13;16;9;15;4;3;11;8;2;1;10;6;20;12;17;18
6;7;MCO;8;7;20;6;10;16;12;15;14;3;17;13;2;5;1;4;18;11;9;19
7;8;CAN;4;5;17;11;9;19;16;10;12;2;7;13;20;3;1;8;15;14;6;18
8;9;EUR;8;5;12;9;10;14;13;15;20;4;7;16;1;2;3;6;18;17;11;19
9;10;FRA;7;8;14;5;13;18;17;16;15;2;10;11;4;3;1;6;19;12;9;20
10;11;GBR;8;1;20;12;6;17;15;14;16;7;13;10;3;5;4;2;19;9;11;18
11;12;DEU;8;3;17;10;9;18;12;14;15;1;7;-;5;6;2;4;19;13;11;16
12;13;HUN;1;5;14;9;15;-;13;17;11;4;10;-;7;8;2;6;18;16;3;12
13;14;ITA;20;3;7;8;12;-;13;14;16;2;9;-;4;1;-;6;17;10;11;15
14;15;USA;6;2;11;8;9;18;17;15;13;4;3;-;1;7;5;10;19;12;14;16
15;16;JPN;5;1;9;7;3;15;16;12;11;2;4;-;8;14;20;19;17;-;6;10
