;race_idx;race_name;ALO;BAR;BAU;BRU;BUT;COU;DMA;FIS;HEI;KLI;MAS;MON;PAN;PTO;RAI;SAT;MSC;RSC;TRU;WEB
0;1;AUS;3;2;ab;nc;6;8;12;10;ab;11;ab;5;13;14;ab;9;1;4;7;ab
1;2;MYS;7;4;16;14;3;6;9;11;ab;10;8;2;12;13;ab;15;1;ab;5;ab
2;3;BHR;6;2;ab;17;3;ab;10;11;15;14;12;13;9;16;ab;5;1;7;4;8
3;4;SMR;4;6;15;ab;2;12;ab;9;ab;14;10;3;11;ab;8;16;1;7;5;13
4;5;ESP;4;2;ab;ab;8;10;13;7;ab;ab;9;ab;ab;ab;11;5;1;6;3;12
5;6;MCO;ab;3;9;ab;2;ab;6;ab;7;ab;5;4;8;ab;ab;ab;ab;10;1;ab
6;7;EUR;5;2;15;14;3;ab;ab;6;10;12;9;8;11;13;ab;ab;1;ab;4;7
7;8;CAN;ab;2;10;ab;3;6;dsq;4;8;9;ab;dsq;dsq;f;5;ab;1;dsq;ab;ab
8;9;USA;ab;2;8;ab;ab;7;ab;9;ab;ab;ab;dsq;5;ab;6;3;1;ab;4;ab
9;10;FRA;2;3;ab;18;5;6;14;12;16;11;13;8;15;17;7;ab;1;-;4;9
10;11;GBR;10;3;ab;16;4;7;13;6;15;14;9;5;ab;ab;2;11;1;-;ab;8
11;12;DEU;3;12;16;17;2;4;ab;9;ab;10;13;5;14;15;ab;8;1;-;11;6
12;13;HUN;3;2;15;14;5;9;-;8;12;13;ab;4;11;ab;ab;6;1;-;ab;10
13;14;BEL;ab;3;ab;ab;ab;7;-;5;11;6;4;ab;8;ab;1;ab;2;-;9;ab
14;15;ITA;ab;1;15;ab;3;6;-;8;14;13;12;5;ab;ab;ab;4;2;-;10;9
15;16;CHN;4;1;16;ab;2;9;-;7;13;ab;8;5;14;-;3;6;12;ab;-;10
16;17;JPN;5;ab;ab;16;3;ab;-;8;13;12;9;7;14;-;6;4;1;2;11;ab
17;18;BRA;4;3;16;17;ab;11;-;9;ab;14;8;1;-;-;2;6;7;5;12;ab
