;race_idx;race_name;ALB;ALO;BAR;BUT;COU;FIS;FRI;HEI;KAR;KLI;MAS;MTR;MON;RAI;SAT;MSC;RSC;TRU;VIL;WEB
0;1;AUS;17;13;11;8;5;1;16;7;12;6;18;14;9;10;20;19;15;2;4;3
1;2;MYS;19;1;12;9;8;3;20;10;17;7;14;18;11;6;-;13;5;2;16;4
2;3;BHR;18;1;20;11;14;10;19;4;17;7;12;16;-;9;13;2;6;3;15;5
3;4;SMR;20;2;9;3;14;12;19;8;16;-;18;17;-;1;6;13;10;5;11;4
4;5;ESP;14;3;16;-;9;6;15;17;13;-;10;18;7;1;-;8;4;5;12;2
5;6;MCO;14;2;10;-;7;4;13;6;17;-;11;15;16;1;-;8;18;5;9;3
6;7;EUR;20;6;7;13;12;9;18;1;19;-;11;17;5;2;16;10;8;4;15;3
7;8;CAN;15;3;20;1;12;4;19;13;17;16;11;18;5;7;6;2;10;9;8;14
8;9;USA;18;6;7;3;16;4;20;15;19;14;10;17;11;2;8;5;-;1;12;9
9;10;FRA;20;1;5;7;15;6;18;14;17;16;9;19;8;13;4;3;11;2;10;12
10;11;GBR;18;1;5;2;13;6;19;14;17;15;16;20;3;12;7;9;8;4;10;11
11;12;DEU;16;3;15;2;11;4;-;7;19;10;13;18;20;1;8;5;12;9;14;6
12;13;HUN;17;6;7;8;13;9;-;12;18;11;14;20;2;4;10;1;5;3;15;16
13;14;TUR;15;3;11;13;12;2;-;6;18;10;8;14;4;1;20;19;9;5;16;7
14;15;ITA;20;2;7;3;10;8;-;-;19;13;15;17;1;11;4;6;9;5;12;14
15;16;BEL;18;4;12;8;11;13;-;-;20;16;7;19;1;2;10;6;5;3;14;9
16;17;BRA;16;1;9;4;14;3;-;-;15;6;8;11;2;5;19;7;10;17;20;12
17;18;JPN;13;16;9;2;6;3;-;-;11;4;10;20;18;17;5;14;1;19;8;7
18;19;CHN;18;1;8;4;7;2;-;-;15;14;11;19;5;3;17;6;9;12;16;10
