;race_idx;race_name;ALB;ALO;BAR;BUT;COU;FIS;HEI;KLI;LIU;MAS;MTR;MON;RAI;ROS;SAT;MSC;RSC;SPE;TRU;VIL;WEB
0;1;BHR;18;4;6;3;13;9;10;8;15;2;19;5;22;12;20;1;17;16;14;11;7
1;2;MYS;19;8;12;2;11;1;15;9;18;16;20;6;7;3;21;4;10;17;13;14;5
2;3;AUS;18;3;17;1;12;2;8;14;13;16;20;5;4;15;21;11;6;19;10;9;7
3;4;SMR;20;5;3;2;14;11;15;17;16;4;19;7;8;13;21;1;6;18;9;12;10
4;5;EUR;18;1;4;6;14;13;15;17;16;3;20;8;5;12;21;2;11;19;7;10;9
5;6;ESP;19;1;5;8;22;2;10;15;16;4;18;12;9;13;20;3;6;17;7;14;11
6;7;MCO;17;2;6;14;8;10;16;12;13;22;18;5;4;9;20;1;11;19;7;15;3
7;8;GBR;18;1;6;19;11;5;9;14;13;4;16;8;2;12;20;3;7;15;22;10;17
8;9;CAN;20;1;9;8;16;2;13;12;15;10;19;7;3;6;21;5;14;18;4;11;17
9;10;USA;14;5;4;7;17;3;10;16;22;2;15;11;9;19;18;1;8;13;20;6;12
10;11;FRA;16;3;14;19;10;7;12;13;17;2;20;-;6;9;22;1;5;15;4;18;11
11;12;DEU;18;7;6;4;10;5;16;12;17;3;20;-;1;15;19;2;8;22;13;14;11
12;13;HUN;21;15;3;4;13;8;11;14;17;2;16;-;1;18;19;12;7;20;9;-;6
13;14;TUR;16;3;14;7;17;4;6;11;19;1;20;-;8;15;22;2;5;18;13;-;10
14;15;ITA;18;10;8;5;14;9;3;16;17;4;20;-;1;12;21;2;13;15;11;-;19
15;16;CHN;19;1;3;4;12;2;8;-;14;13;20;-;5;16;21;6;17;11;18;-;15
16;17;JPN;16;5;8;7;17;6;9;-;15;1;21;-;11;10;20;2;3;19;4;-;14
17;18;BRA;18;4;5;14;19;6;8;-;16;1;22;-;2;13;20;10;7;17;3;-;11
