;race_idx;race_name;ALB;ALO;BAR;BUT;COU;FIS;HEI;KLI;LIU;MAS;MTR;MON;RAI;ROS;SAT;MSC;RSC;SPE;TRU;VIL;WEB
0;1;BHR;ab;1;15;4;10;ab;12;8;11;9;17;5;3;7;18;2;14;13;16;ab;6
1;2;MYS;12;2;10;3;ab;1;ab;ab;11;5;13;4;ab;ab;14;6;8;ab;9;7;ab
2;3;AUS;11;1;7;10;8;5;4;ab;ab;ab;ab;ab;2;ab;12;ab;3;9;ab;6;ab
3;4;SMR;ab;2;10;7;ab;8;13;ab;14;4;16;3;5;11;ab;1;9;15;ab;12;6
4;5;EUR;13;2;5;ab;ab;6;10;ab;ab;3;12;ab;4;7;ab;1;ab;11;9;8;ab
5;6;ESP;ab;1;7;6;14;3;8;13;15;4;16;ab;5;11;17;2;ab;ab;10;12;9
6;7;MCO;12;1;4;11;3;6;7;ab;10;9;15;2;ab;ab;ab;5;8;13;17;14;ab
7;8;GBR;15;1;10;ab;12;4;7;14;13;5;16;6;3;9;17;2;ab;ab;11;8;ab
8;9;CAN;ab;1;ab;9;8;4;7;11;13;5;14;ab;3;ab;15;2;ab;10;6;ab;12
9;10;USA;ab;5;6;ab;7;3;ab;ab;8;2;ab;ab;ab;9;ab;1;ab;ab;4;ab;ab
10;11;FRA;15;2;ab;ab;9;6;8;12;13;3;ab;-;5;14;ab;1;4;10;ab;11;ab
11;12;DEU;dsq;5;ab;4;11;6;ab;8;10;2;dsq;-;3;ab;ab;1;9;12;7;ab;ab
12;13;HUN;10;ab;4;1;5;ab;3;ab;ab;7;9;-;ab;ab;13;8;6;11;12;-;ab
13;14;TUR;ab;2;8;4;15;6;14;11;ab;1;ab;-;ab;ab;nc;3;7;13;9;-;10
14;15;ITA;17;ab;6;5;12;4;8;11;14;9;ab;-;2;ab;16;1;15;13;7;-;10
15;16;CHN;15;2;6;4;9;3;7;-;10;ab;ab;-;ab;11;dsq;1;ab;14;ab;-;8
16;17;JPN;ab;1;12;4;ab;3;8;-;14;2;16;-;5;10;15;ab;7;18;6;-;ab
17;18;BRA;14;2;7;3;ab;6;17;-;13;1;15;-;5;ab;10;4;ab;11;ab;-;ab
