;race_idx;race_name;ALB;ALO;BAR;BUT;COU;FIS;HEI;KLI;LIU;MAS;MTR;MON;RAI;ROS;SAT;MSC;RSC;SPE;TRU;VIL;WEB
0;1;BHR;18;4;6;3;13;9;10;8;15;2;19;5;22;12;20;1;17;16;14;11;7
1;2;MYS;15;7;20;2;19;1;11;8;13;21;16;5;6;3;17;14;22;12;9;10;4
2;3;AUS;17;3;16;1;11;2;8;13;12;15;20;5;4;14;21;10;6;18;9;19;7
3;4;SMR;20;5;3;2;14;11;15;17;16;4;19;7;8;13;21;1;6;18;9;12;10
4;5;EUR;16;1;4;6;12;11;13;15;14;3;18;8;5;22;20;2;10;17;7;9;19
5;6;ESP;18;1;5;8;21;2;10;14;15;4;17;12;9;13;19;3;6;16;7;22;11
6;7;MCO;16;1;5;13;7;9;15;11;12;21;17;4;3;8;19;22;10;18;6;14;2
7;8;GBR;18;1;6;19;11;5;9;14;13;4;16;8;2;12;21;3;7;15;22;10;17
8;9;CAN;19;1;9;8;22;2;13;12;15;10;18;7;3;6;20;5;14;17;4;11;16
9;10;USA;14;5;4;7;17;3;10;16;20;2;15;11;9;21;18;1;8;13;22;6;12
10;11;FRA;15;3;13;17;9;7;11;12;22;2;18;-;6;19;21;1;5;14;4;16;10
11;12;DEU;21;7;6;4;10;5;15;12;16;3;18;-;1;14;17;2;8;19;20;13;11
12;13;HUN;22;15;3;14;12;7;10;13;17;2;16;-;1;18;19;11;6;20;8;-;5
13;14;TUR;22;3;13;6;16;4;5;10;18;1;19;-;7;14;21;2;15;17;12;-;9
14;15;ITA;18;10;8;5;14;9;3;16;17;4;20;-;1;12;21;2;13;15;11;-;19
15;16;CHN;22;1;3;4;12;2;8;-;13;20;18;-;5;15;21;6;16;11;17;-;14
16;17;JPN;16;5;8;7;17;6;9;-;15;1;21;-;11;10;20;2;3;19;4;-;14
17;18;BRA;17;4;5;14;18;6;8;-;15;1;21;-;2;13;19;10;7;16;3;-;11
