;race_idx;race_name;ALB;ALO;BAR;BUT;COU;DAV;FIS;HAM;HEI;KOV;KUB;LIU;MAS;RAI;ROS;SAT;RSC;SPE;SUT;TRU;VET;WEB;WUR
0;1;AUS;ab;2;11;15;ab;16;5;3;4;10;ab;14;6;1;7;12;8;ab;17;9;t;13;ab
1;2;MYS;ab;1;11;12;ab;16;6;2;4;8;18;17;5;3;ab;13;15;14;ab;7;t;10;9
2;3;BHR;14;5;13;ab;ab;16;8;2;4;9;6;ab;1;3;10;ab;12;ab;15;7;-;ab;11
3;4;ESP;14;3;10;12;5;11;9;2;ab;7;4;ab;1;ab;6;8;ab;ab;13;ab;-;ab;ab
4;5;MCO;19;1;10;11;14;18;4;2;6;13;5;ab;3;8;12;17;16;9;ab;15;-;ab;7
5;6;CAN;ab;7;12;ab;ab;11;dsq;1;2;4;ab;ab;dsq;5;10;6;8;ab;ab;ab;-;9;3
6;7;USA;15;2;ab;12;ab;11;9;1;ab;5;-;17;3;4;16;ab;ab;13;14;6;8;7;10
7;8;FRA;ab;7;11;8;13;ab;6;3;5;15;4;ab;2;1;9;16;10;ab;17;ab;-;12;14
8;9;GBR;15;2;9;10;11;ab;8;3;6;7;4;16;5;1;12;14;ab;ab;ab;ab;-;ab;13
9;10;EUR;-;1;11;ab;5;12;10;9;6;8;7;ab;2;ab;ab;ab;ab;ab;ab;13;-;3;4
10;11;HUN;-;4;18;ab;11;ab;12;1;3;8;5;ab;13;2;7;15;6;-;17;10;16;9;14
11;12;TUR;-;3;17;13;10;14;9;5;4;6;8;15;1;2;7;18;12;-;21;16;19;ab;11
12;13;ITA;-;1;10;8;ab;14;12;2;4;7;5;17;ab;3;6;16;15;-;19;11;18;9;13
13;14;BEL;-;3;13;ab;ab;16;ab;4;5;8;9;12;2;1;6;15;10;-;14;11;ab;7;ab
14;15;JPN;-;ab;10;11;4;ab;5;1;14;2;7;9;6;3;ab;15;ab;-;8;13;ab;ab;ab
15;16;CHN;-;2;15;5;8;ab;11;ab;7;9;ab;6;3;1;16;14;ab;-;ab;13;4;10;12
16;17;BRA;-;3;ab;ab;9;14;ab;7;6;ab;5;13;2;1;4;12;11;-;ab;8;ab;ab;-
