;race_idx;race_name;ALO;BAR;BOU;BUT;COU;FIS;GLO;HAM;HEI;KOV;KUB;MAS;NAK;PIQ;RAI;ROS;SUT;TRU;VET;WEB
0;1;AUS;12;11;18;13;8;17;9;1;5;3;2;4;14;21;16;7;19;6;10;15
1;2;MYS;9;14;19;11;12;17;10;4;7;3;6;1;18;13;2;16;21;5;15;8
2;3;BHR;10;12;15;9;17;18;13;3;6;5;1;2;16;14;4;8;20;7;19;11
3;4;ESP;2;11;16;13;17;19;14;5;9;6;4;3;12;10;1;15;20;8;18;7
4;5;TUR;7;12;18;13;10;19;15;3;9;2;5;1;16;17;4;11;20;8;14;6
5;6;MCO;7;15;16;12;10;20;11;3;13;4;5;1;14;17;2;6;19;8;18;9
6;7;CAN;4;9;16;19;13;18;11;1;8;7;2;6;12;15;3;5;17;14;20;10
7;8;FRA;4;18;14;17;9;19;10;3;12;6;7;2;16;11;1;15;20;5;13;8
8;9;GBR;6;16;13;17;11;20;12;4;5;1;10;9;15;7;3;18;19;14;8;2
9;10;DEU;5;18;15;14;10;20;11;1;12;3;7;2;16;17;6;13;19;4;9;8
10;11;HUN;7;17;14;12;13;19;5;1;16;2;4;3;17;10;6;15;20;9;11;8
11;12;EUR;12;19;10;16;17;18;13;2;8;5;3;1;11;15;4;9;20;7;6;14
12;13;BEL;6;16;9;17;14;20;13;1;5;3;8;2;19;12;4;15;18;11;10;7
13;14;ITA;8;16;4;19;13;12;9;15;10;2;11;6;18;17;14;5;20;7;1;3
14;15;SGP;15;18;17;12;14;20;8;2;6;5;4;1;10;16;3;9;19;11;7;13
15;16;JPN;4;17;10;18;11;20;8;1;16;3;6;5;14;12;2;15;19;7;9;13
16;17;CHN;4;14;10;18;16;20;13;1;7;5;12;3;17;11;2;15;19;9;8;6
17;18;BRA;6;15;9;17;14;19;10;4;8;5;13;1;16;11;3;18;20;2;7;12
