;race_idx;race_name;ALO;BAR;BOU;BUT;COU;FIS;GLO;HAM;HEI;KOV;KUB;MAS;NAK;PIQ;RAI;ROS;SUT;TRU;VET;WEB
0;1;AUS;4;dsq;7;ab;ab;ab;ab;1;2;5;ab;ab;6;ab;8;3;ab;ab;ab;ab
1;2;MYS;8;13;ab;10;9;12;ab;5;6;3;2;ab;17;11;1;14;ab;4;ab;7
2;3;BHR;10;11;15;ab;18;12;9;13;4;5;3;1;14;ab;2;8;19;6;ab;7
3;4;ESP;ab;ab;ab;6;12;10;11;3;9;ab;4;2;7;ab;1;ab;ab;8;ab;5
4;5;TUR;6;14;ab;11;9;ab;13;2;5;12;4;1;ab;15;3;8;16;10;17;7
5;6;MCO;10;6;ab;11;ab;ab;12;1;14;8;2;3;7;ab;9;ab;ab;13;5;4
6;7;CAN;ab;7;13;11;3;ab;4;ab;2;9;1;5;ab;ab;ab;10;ab;6;8;12
7;8;FRA;8;14;17;ab;9;18;11;10;13;4;5;1;15;7;2;16;19;3;12;6
8;9;GBR;6;3;11;ab;ab;ab;12;1;2;5;ab;13;8;ab;4;9;ab;7;ab;10
9;10;DEU;11;ab;12;17;13;16;ab;1;4;5;7;3;14;2;6;10;15;9;8;ab
10;11;HUN;4;16;18;12;11;15;2;5;10;1;8;17;13;6;3;14;ab;7;ab;9
11;12;EUR;ab;16;10;13;17;14;7;2;9;4;3;1;15;11;ab;8;ab;5;6;12
12;13;BEL;4;ab;7;15;11;17;9;3;2;10;6;1;14;ab;18;12;13;16;5;8
13;14;ITA;4;17;18;15;16;ab;11;7;5;2;3;6;12;10;9;14;19;13;1;8
14;15;SGP;1;ab;12;9;7;14;4;3;6;10;11;13;8;ab;15;2;ab;ab;5;ab
15;16;JPN;1;13;10;14;ab;ab;ab;12;9;ab;2;7;15;4;3;11;ab;5;6;8
16;17;CHN;4;11;13;16;10;17;7;1;5;ab;6;2;12;8;3;15;ab;ab;9;14
17;18;BRA;2;15;14;13;ab;18;6;5;10;7;11;1;17;ab;3;12;16;8;4;9
