;race_idx;race_name;ALG;ALO;BAR;BOU;BUE;BUT;FIS;GLO;HAM;HEI;KOV;KUB;MAS;NAK;PIQ;RAI;ROS;SUT;TRU;VET;WEB
0;1;AUS;-;12;2;20;16;1;18;6;15;11;14;4;7;13;17;9;5;19;8;3;10
1;2;MYS;-;10;4;15;20;1;18;5;13;11;14;8;16;12;17;9;6;19;2;3;7
2;3;CHN;-;2;4;16;10;5;20;14;9;11;12;18;13;15;17;8;7;19;6;1;3
3;4;BHR;-;7;6;20;17;4;18;2;5;14;11;13;8;12;15;10;9;16;1;3;19
4;5;ESP;-;8;3;17;15;1;20;6;14;13;18;10;4;11;12;16;9;19;7;2;5
5;6;MCO;-;9;3;14;11;1;13;20;16;17;7;18;5;10;12;2;6;15;19;4;8
6;7;TUR;-;8;3;20;18;2;19;13;16;11;14;10;7;12;17;6;9;15;5;1;4
7;8;GBR;-;10;2;17;20;6;16;8;19;15;13;12;11;5;14;9;7;18;4;1;3
8;9;DEU;-;12;2;20;17;3;18;19;5;11;6;16;8;13;10;9;15;7;14;4;1
9;10;HUN;20;1;13;-;11;8;17;14;4;16;6;19;10;9;15;7;5;18;12;2;3
10;11;EUR;19;8;3;-;15;5;16;13;1;11;2;10;-;17;-;6;7;12;18;4;9
11;12;BEL;17;13;4;-;16;14;1;7;12;3;15;5;-;18;-;6;10;11;2;8;9
12;13;ITA;20;8;5;-;19;6;14;16;1;15;4;13;-;17;-;3;18;2;11;9;10
13;14;SGP;17;6;5;-;14;12;18;7;1;8;10;9;-;11;-;13;3;16;15;2;4
14;15;JPN;15;12;5;-;10;7;16;14;3;6;9;13;-;17;-;8;11;4;2;1;20
15;16;BRA;12;10;1;-;6;14;20;-;18;19;17;8;-;9;-;5;7;3;4;16;2
16;17;ABD;15;16;4;-;10;5;20;-;1;8;13;7;-;14;-;11;9;18;6;2;3
