;race_idx;race_name;ALG;ALO;BAR;BOU;BUE;BUT;FIS;GLO;HAM;HEI;KOV;KUB;MAS;NAK;PIQ;RAI;ROS;SUT;TRU;VET;WEB
0;1;AUS;-;5;2;8;7;1;11;4;dsq;10;ab;14;ab;ab;ab;15;6;9;3;13;12
1;2;MYS;-;11;5;10;16;1;18;3;7;2;ab;ab;9;12;13;14;8;17;4;15;6
2;3;CHN;-;9;4;11;8;3;14;7;6;12;5;13;ab;ab;16;10;15;17;ab;1;2
3;4;BHR;-;8;5;13;17;1;15;7;4;19;12;18;14;ab;10;6;9;16;3;2;11
4;5;ESP;-;5;2;ab;ab;1;14;10;9;7;ab;11;6;13;12;ab;8;ab;ab;4;3
5;6;MCO;-;7;2;8;ab;1;9;10;12;11;ab;ab;4;15;ab;3;6;14;13;ab;5
6;7;TUR;-;10;ab;18;15;1;ab;8;13;11;14;7;6;12;16;9;5;17;4;3;2
7;8;GBR;-;14;3;ab;18;6;10;9;16;15;ab;13;4;11;12;8;5;17;7;1;2
8;9;DEU;-;7;6;ab;16;5;11;9;18;10;8;14;3;12;13;ab;4;15;17;2;1
9;10;HUN;15;ab;10;-;16;7;14;6;1;11;5;13;f;9;12;2;4;ab;8;ab;3
10;11;EUR;16;6;1;-;ab;7;12;14;2;11;4;8;-;18;-;3;5;10;13;ab;9
11;12;BEL;ab;ab;7;-;12;ab;2;10;ab;5;6;4;-;13;-;1;8;11;ab;3;9
12;13;ITA;ab;5;1;-;13;2;9;11;12;7;6;ab;-;10;-;3;16;4;14;8;ab
13;14;SGP;ab;3;6;-;ab;5;13;2;1;ab;7;8;-;9;-;10;11;ab;12;4;ab
14;15;JPN;ab;10;7;-;ab;8;12;f;3;6;11;9;-;15;-;4;5;13;2;1;17
15;16;BRA;14;ab;8;-;7;5;10;-;3;ab;12;2;-;ab;-;6;ab;ab;ab;4;1
16;17;ABD;ab;14;4;-;8;3;16;-;ab;5;11;10;-;13;-;12;9;17;7;1;2
