;race_idx;race_name;ALG;ALO;BAR;BOU;BUE;BUT;FIS;GLO;HAM;HEI;KOV;KUB;MAS;NAK;PIQ;RAI;ROS;SUT;TRU;VET;WEB
0;1;AUS;-;10;2;17;13;1;15;19;18;9;12;4;6;11;14;7;5;16;20;3;8
1;2;MYS;-;9;8;15;20;1;18;3;12;10;14;6;16;11;17;7;4;19;2;13;5
2;3;CHN;-;2;4;15;10;5;20;19;9;11;12;17;13;14;16;8;7;18;6;1;3
3;4;BHR;-;7;6;20;16;4;17;2;5;14;11;13;8;12;15;10;9;19;1;3;18
4;5;ESP;-;8;3;17;15;1;20;6;14;13;18;10;4;11;12;16;9;19;7;2;5
5;6;MCO;-;9;3;14;11;1;13;20;19;16;7;17;5;10;12;2;6;15;18;4;8
6;7;TUR;-;8;3;20;18;2;19;13;16;11;14;10;7;12;17;6;9;15;5;1;4
7;8;GBR;-;10;2;17;19;6;16;8;18;15;13;12;11;5;14;9;7;20;4;1;3
8;9;DEU;-;12;2;19;17;3;18;20;5;11;6;16;8;13;10;9;15;7;14;4;1
9;10;HUN;19;1;12;-;10;8;16;13;4;15;6;18;-;9;14;7;5;17;11;2;3
10;11;EUR;19;8;3;-;15;5;16;13;1;11;2;10;-;17;-;6;7;12;18;4;9
11;12;BEL;17;13;4;-;16;14;1;7;12;3;15;5;-;18;-;6;10;11;2;8;9
12;13;ITA;20;8;5;-;19;6;14;16;1;15;4;13;-;17;-;3;18;2;11;9;10
13;14;SGP;16;5;9;-;13;11;17;6;1;20;8;7;-;10;-;12;3;15;14;2;4
14;15;JPN;12;16;6;-;13;10;14;-;3;4;11;9;-;15;-;5;7;8;2;1;19
15;16;BRA;12;10;1;-;6;14;19;-;17;18;16;8;-;9;-;5;7;3;4;15;2
16;17;ABD;14;15;4;-;10;5;20;-;1;8;18;7;-;13;-;11;9;17;6;2;3
