;race_idx;race_name;ALO;BUT;DLR;DRE;GLO;GRO;HAM;HUL;KAR;KOB;KOV;MAL;MAS;PER;PET;PIC;RAI;RIC;ROS;MSC;SEN;VER;VET;WEB
0;1;AUS;12;2;23;15;21;3;1;9;24;13;19;8;16;17;20;22;18;10;7;4;14;11;6;5
1;2;MYS;9;2;23;14;21;7;1;16;24;17;19;11;12;10;20;22;5;15;8;3;13;18;6;4
2;3;CHN;9;6;23;15;21;10;2;16;24;4;19;13;12;8;20;22;5;17;1;3;14;18;11;7
3;4;BHR;9;4;22;10;23;7;2;13;24;12;16;17;14;8;20;21;11;6;5;18;15;19;1;3
4;5;ESP;3;11;23;13;22;4;1;14;24;10;20;2;17;6;19;21;5;16;7;9;18;15;8;12
5;6;MCO;6;13;21;15;20;5;4;11;23;12;18;9;7;24;19;22;8;16;3;1;14;17;10;2
6;7;CAN;3;10;21;8;22;7;2;13;24;11;18;17;6;15;19;23;12;14;5;9;16;20;1;4
7;8;EUR;11;9;21;10;24;4;2;8;22;7;16;3;13;15;20;23;5;17;6;12;14;18;1;19
8;9;GBR;1;18;22;11;21;10;8;9;23;12;20;7;5;17;19;24;6;14;13;3;15;16;4;2
9;10;DEU;1;7;23;9;22;15;8;5;24;13;19;6;14;12;20;21;10;11;17;4;16;18;2;3
10;11;HUN;6;4;23;12;22;2;1;10;24;15;19;8;7;14;20;21;5;18;13;17;9;16;3;11
11;12;BEL;6;1;22;10;21;9;8;12;24;2;19;3;14;5;20;23;4;16;18;13;17;15;11;7
12;13;ITA;10;2;23;4;20;-;1;24;22;9;18;12;3;13;19;21;8;15;7;5;14;17;6;11
13;14;SGP;5;4;24;6;21;8;1;11;23;18;20;2;13;14;19;22;12;15;10;9;17;16;3;7
14;15;JPN;7;3;21;12;20;5;9;10;24;4;19;14;11;6;23;22;8;16;15;13;18;17;1;2
15;16;KOR;4;11;23;14;22;7;3;8;24;13;20;15;6;12;19;21;5;16;9;10;18;17;2;1
16;17;IND;5;4;22;16;21;11;3;12;23;17;20;9;6;8;19;24;7;15;10;14;13;18;1;2
17;18;ABD;7;6;23;13;22;10;1;11;24;16;19;4;9;12;21;20;5;17;8;14;15;18;3;2
18;19;USA;9;12;23;13;19;4;2;8;24;16;22;10;7;15;21;20;5;18;17;6;11;14;1;3
19;20;BRA;8;2;24;11;21;18;1;7;23;15;20;6;5;13;19;22;9;16;10;14;12;17;4;3
