;race_idx;race_name;ALO;BUT;DLR;DRE;GLO;GRO;HAM;HUL;KAR;KOB;KOV;MAL;MAS;PER;PET;PIC;RAI;RIC;ROS;MSC;SEN;VER;VET;WEB
0;1;AUS;5;1;nq;10;14;ab;3;ab;nq;6;ab;13;ab;8;ab;15;7;9;12;ab;16;11;2;4
1;2;MYS;1;14;21;7;17;ab;3;9;22;ab;18;19;15;2;16;20;5;12;13;10;6;8;11;4
2;3;CHN;9;2;21;12;19;6;3;15;22;10;23;8;13;11;18;20;14;17;1;ab;7;16;5;4
3;4;BHR;7;18;20;6;19;3;8;12;21;13;17;ab;9;11;16;ab;2;15;5;10;22;14;1;4
4;5;ESP;2;9;19;14;18;4;8;10;ab;5;16;1;15;ab;17;ab;3;13;7;ab;ab;12;6;11
5;6;MCO;3;16;ab;7;14;ab;5;8;15;ab;13;ab;6;11;ab;ab;9;ab;2;ab;10;12;4;1
6;7;CAN;5;16;ab;11;ab;2;1;12;ab;9;18;13;10;3;19;20;8;14;6;ab;17;15;4;7
7;8;EUR;1;8;17;7;np;ab;19;5;18;ab;14;12;16;9;13;15;2;11;6;3;10;ab;ab;4
8;9;GBR;2;10;20;ab;18;6;8;12;21;11;17;16;4;ab;np;19;5;13;15;7;9;14;3;1
9;10;DEU;1;2;21;11;22;18;ab;9;23;4;19;15;12;6;16;20;3;13;10;7;17;14;5;8
10;11;HUN;5;6;22;12;21;3;1;11;ab;18;17;13;9;14;19;20;2;15;10;ab;7;16;4;8
11;12;BEL;ab;1;18;10;15;ab;ab;4;ab;13;17;ab;5;ab;14;16;3;9;11;7;12;8;2;6
12;13;ITA;3;ab;18;8;17;-;1;21;19;9;14;11;4;2;15;16;5;12;7;6;10;ab;22;20
13;14;SGP;3;2;17;4;12;7;ab;14;ab;13;15;ab;8;10;19;16;6;9;5;ab;18;ab;1;11
14;15;JPN;ab;4;18;12;16;19;5;7;ab;3;15;8;2;ab;17;ab;6;10;ab;11;14;13;1;9
15;16;KOR;3;ab;ab;12;18;7;10;6;20;ab;17;14;4;11;16;19;5;9;ab;13;15;8;1;2
16;17;IND;2;5;ab;12;20;9;4;8;21;14;18;16;6;ab;17;19;7;13;11;22;10;15;1;3
17;18;ABD;2;4;17;9;14;ab;ab;ab;ab;6;13;5;7;15;16;ab;1;10;ab;11;8;12;3;ab
18;19;USA;3;5;21;15;19;7;1;8;22;14;18;9;4;11;17;20;6;12;13;16;10;ab;2;ab
19;20;BRA;2;1;17;19;16;ab;ab;5;18;9;14;ab;3;ab;11;12;10;13;15;7;ab;8;6;4
