;race_idx;race_name;ALO;BIA;BOT;BUT;CHI;DRE;GRO;GUT;HAM;HUL;MAL;MAS;PER;PIC;RAI;RIC;ROS;SUT;VDG;VER;VET;WEB
0;1;AUS;5;19;16;10;20;9;8;18;3;11;17;4;15;22;7;14;6;12;21;13;1;2
1;2;MYS;3;19;18;8;21;15;11;14;4;12;16;2;10;20;7;13;6;9;22;17;1;5
2;3;CHN;3;19;17;8;20;11;6;18;1;10;15;5;12;21;2;7;4;13;22;16;9;14
3;4;BHR;3;20;15;10;22;7;11;18;4;14;17;6;12;19;9;13;1;8;21;16;2;5
4;5;ESP;5;20;17;14;21;10;7;16;2;15;18;6;9;22;4;11;1;13;19;12;3;8
5;6;MCO;6;21;14;9;20;17;13;19;2;11;16;22;7;18;5;12;1;8;15;10;3;4
6;7;CAN;6;20;3;14;21;17;19;15;2;11;13;16;12;18;9;10;4;8;22;7;1;5
7;8;GBR;10;20;17;11;22;5;8;18;1;15;16;12;14;19;9;6;2;7;21;13;3;4
8;9;DEU;8;20;17;9;22;12;5;14;1;10;18;7;13;19;4;6;11;15;21;16;2;3
9;10;HUN;5;21;16;13;22;18;3;17;1;12;15;7;9;19;6;8;4;11;20;14;2;10
10;11;BEL;9;15;20;6;16;5;7;21;1;11;17;10;13;22;8;19;4;12;14;18;2;3
11;12;ITA;5;21;18;9;22;16;13;17;12;3;15;4;8;20;11;7;6;14;19;10;1;2
12;13;SGP;7;21;16;8;22;17;3;10;5;11;18;6;14;19;13;9;2;15;20;12;1;4
13;14;KOR;6;21;17;12;22;15;4;9;2;8;18;7;11;19;10;13;5;14;20;16;1;3
14;15;JPN;8;22;13;10;19;12;4;14;3;7;15;5;11;20;9;16;6;17;21;18;2;1
15;16;IND;8;19;15;10;22;12;17;16;3;7;18;5;9;21;6;11;2;13;20;14;1;4
16;17;ABD;11;20;16;13;22;12;7;17;4;6;15;8;9;21;5;10;3;18;19;14;2;1
17;18;USA;6;20;9;13;22;12;3;10;5;4;18;15;7;21;-;11;14;17;19;16;1;2
18;19;BRA;3;21;13;15;22;12;6;18;5;10;17;9;14;19;-;7;2;16;20;8;1;4
