;race_idx;race_name;ALO;BIA;BOT;BUT;CHI;DRE;GRO;GUT;HAM;HUL;MAL;MAS;PER;PIC;RAI;RIC;ROS;SUT;VDG;VER;VET;WEB
0;1;AUS;5;19;16;10;20;9;8;18;3;11;17;4;15;22;7;14;6;12;21;13;1;2
1;2;MYS;3;19;18;7;21;15;11;14;4;12;16;2;9;20;10;13;6;8;22;17;1;5
2;3;CHN;3;18;16;8;19;11;6;17;1;10;14;5;12;20;2;7;4;13;21;15;9;22
3;4;BHR;3;19;15;10;21;5;11;22;9;14;17;4;12;18;8;13;1;6;20;16;2;7
4;5;ESP;5;20;16;14;21;10;6;19;2;15;17;9;8;22;4;11;1;13;18;12;3;7
5;6;MCO;6;20;14;9;22;17;13;19;2;11;16;21;7;18;5;12;1;8;15;10;3;4
6;7;CAN;6;19;3;14;20;17;22;15;2;9;13;16;12;18;10;11;4;8;21;7;1;5
7;8;GBR;9;19;16;10;20;21;7;17;1;14;15;11;13;18;8;5;2;6;22;12;3;4
8;9;DEU;8;19;17;9;21;12;5;14;1;10;18;7;13;22;4;6;11;15;20;16;2;3
9;10;HUN;5;21;16;13;22;18;3;17;1;12;15;7;9;19;6;8;4;11;20;14;2;10
10;11;BEL;9;15;20;6;16;5;7;21;1;11;17;10;13;22;8;19;4;12;14;18;2;3
11;12;ITA;5;21;18;9;22;15;13;16;12;3;14;4;8;20;11;7;6;17;19;10;1;2
12;13;SGP;7;21;16;8;22;17;3;10;5;11;18;6;14;19;13;9;2;15;20;12;1;4
13;14;KOR;5;22;17;11;21;15;3;8;2;7;18;6;10;19;9;12;4;14;20;16;1;13
14;15;JPN;8;21;13;10;18;12;4;14;3;7;15;5;11;20;9;16;6;22;19;17;2;1
15;16;IND;8;19;15;10;22;12;17;16;3;7;18;5;9;21;6;11;2;13;20;14;1;4
16;17;ABD;10;21;15;12;20;11;6;16;4;5;14;7;8;19;22;9;3;17;18;13;2;1
17;18;USA;6;19;9;15;21;11;3;20;5;4;17;13;7;22;-;10;12;16;18;14;1;2
18;19;BRA;3;21;13;14;22;12;6;17;5;10;16;9;19;18;-;7;2;15;20;8;1;4
