;race_idx;race_name;ALO;BIA;BOT;BUT;CHI;ERI;GRO;GUT;HAM;HUL;KOB;KVY;MAG;MAL;MAS;PER;RAI;RIC;ROS;SUT;VER;VET
0;1;AUS;5;18;10;11;17;20;21;19;1;7;15;8;4;22;9;16;12;2;3;14;6;13
1;2;MYS;4;19;15;10;21;22;16;12;1;7;20;11;8;17;13;14;6;5;3;18;9;2
2;3;BHR;10;20;4;7;22;21;16;15;2;12;19;13;9;17;8;5;6;3;1;18;14;11
3;4;CHN;5;19;7;12;21;20;10;17;1;8;18;13;15;22;6;16;11;2;4;14;9;3
4;5;ESP;7;19;4;8;18;20;5;14;1;11;21;13;15;22;9;12;6;3;2;17;16;10
5;6;MCO;5;19;13;12;20;22;14;17;2;11;21;9;8;15;16;10;6;3;1;18;7;4
6;7;CAN;7;19;4;9;18;21;14;-;2;11;20;15;12;17;5;13;10;6;1;16;8;3
7;8;AUT;4;19;2;12;21;22;16;18;9;10;20;7;6;14;1;11;8;5;3;17;15;13
8;9;GBR;19;12;17;3;13;21;11;14;6;4;22;9;5;15;18;7;20;8;1;16;10;2
9;10;DEU;7;18;2;11;21;22;15;14;16;9;20;8;4;19;3;10;12;5;1;17;13;6
10;11;HUN;5;16;3;7;19;20;15;14;21;9;18;11;10;22;6;13;17;4;1;12;8;2
11;12;BEL;4;16;6;10;19;22;15;20;2;18;-;11;7;17;9;13;8;5;1;14;12;3
12;13;ITA;7;20;3;6;21;22;18;16;1;14;19;11;5;17;4;10;12;9;2;15;13;8
13;14;SGP;5;19;8;11;21;22;16;14;1;13;20;10;9;18;6;15;7;3;2;17;12;4
14;15;JPN;5;20;3;8;22;19;18;16;2;14;21;13;7;17;4;12;10;6;1;15;11;9
15;16;RUS;8;-;3;4;21;17;16;14;1;12;19;5;6;20;18;13;9;7;2;15;10;11
16;17;USA;6;-;3;7;-;-;18;16;2;13;-;14;8;11;4;12;9;5;1;10;15;17
17;18;BRA;8;-;4;5;-;-;15;11;2;12;-;14;7;18;3;17;10;9;1;13;16;6
18;19;ABD;10;-;3;8;-;-;16;17;2;14;19;7;11;18;4;13;9;5;1;15;12;6
