;race_idx;race_name;ALO;BOT;BUT;ERI;GRO;HAM;HUL;KVY;MAL;MAS;MER;NAS;PER;RAI;RIC;ROS;SAI;STE;VER;VET
0;1;AUS;-;f;11;8;ab;1;7;np;ab;4;nq;5;10;ab;6;2;9;nq;ab;3
1;2;MYS;ab;5;ab;ab;11;2;14;9;ab;6;15;12;13;4;10;3;8;f;7;1
2;3;CHN;12;6;14;10;7;1;ab;ab;ab;5;16;8;11;4;9;2;13;15;17;3
3;4;BHR;11;4;np;14;7;1;13;9;15;10;17;12;8;2;6;3;ab;16;ab;5
4;5;ESP;ab;4;16;14;8;2;15;10;ab;6;18;12;13;5;7;1;9;17;11;3
5;6;MCO;ab;14;8;13;12;3;11;4;ab;15;16;9;7;6;5;1;10;17;ab;2
6;7;CAN;ab;3;ab;14;10;1;8;9;7;6;ab;16;11;4;13;2;12;17;15;5
7;8;AUT;ab;5;ab;13;ab;2;6;12;7;3;14;11;9;ab;10;1;ab;ab;8;4
8;9;GBR;10;5;ab;11;ab;1;7;6;ab;4;12;np;9;8;ab;2;ab;13;ab;3
9;10;HUN;5;13;9;10;7;6;ab;2;14;12;15;11;ab;ab;3;8;ab;16;4;1
10;11;BEL;13;9;14;10;3;1;np;4;ab;6;15;11;5;7;ab;2;ab;16;8;12
11;12;ITA;18;4;14;9;ab;1;7;10;ab;3;16;13;6;5;8;17;11;15;12;2
12;13;SGP;ab;5;ab;11;13;ab;ab;6;12;ab;-;10;7;3;2;4;9;15;8;1
13;14;JPN;11;5;16;14;7;1;6;13;8;17;-;20;12;4;15;2;10;19;9;3
14;15;RUS;11;12;9;ab;ab;1;ab;5;7;4;13;6;3;8;15;ab;ab;14;10;2
15;16;USA;11;ab;6;ab;ab;1;ab;ab;8;ab;-;9;5;ab;10;2;7;ab;4;3
16;17;MEX;ab;3;14;12;10;2;7;4;11;6;-;ab;8;ab;5;1;13;16;9;ab
17;18;BRA;15;5;14;16;8;2;6;7;10;dsq;-;13;12;4;11;1;ab;17;9;3
18;19;ABD;17;13;12;14;9;2;7;10;ab;8;19;15;5;3;6;1;11;18;16;4
