;race_idx;race_name;ALO;BOT;BUT;ERI;GRO;HAM;HUL;KVY;MAL;MAS;MER;NAS;PER;RAI;RIC;ROS;SAI;STE;VER;VET
0;1;AUS;-;-;16;15;8;1;13;12;9;3;-;10;14;5;6;2;7;-;11;4
1;2;MYS;18;8;17;9;10;1;13;5;12;7;19;16;14;11;4;3;15;-;6;2
2;3;CHN;18;5;17;10;8;1;16;12;11;4;20;9;15;6;7;2;14;19;13;3
3;4;BHR;14;5;20;13;10;1;8;17;16;6;19;12;11;4;7;3;9;18;15;2
4;5;ESP;13;4;14;16;11;2;17;8;12;9;20;15;18;7;10;1;5;19;6;3
5;6;MCO;13;16;10;17;15;1;11;5;8;12;19;14;7;6;4;2;20;18;9;3
6;7;CAN;13;4;20;12;5;1;7;8;6;15;16;14;10;3;9;2;11;17;19;18
7;8;AUT;19;6;20;11;9;1;5;15;10;4;16;8;13;14;18;2;12;17;7;3
8;9;GBR;17;4;18;15;12;1;9;7;14;3;20;16;11;5;10;2;8;19;13;6
9;10;HUN;15;6;16;17;10;1;11;7;14;8;19;18;13;5;4;2;12;20;9;3
10;11;BEL;20;3;19;13;9;1;11;12;7;6;17;14;4;16;5;2;10;15;18;8
11;12;ITA;16;6;15;12;8;1;9;18;10;5;14;11;7;2;19;4;17;13;20;3
12;13;SGP;12;7;15;17;10;5;11;4;18;9;-;16;13;3;2;6;14;19;8;1
13;14;JPN;12;3;14;15;8;2;13;20;11;5;-;16;9;6;7;1;10;18;17;4
14;15;RUS;19;3;13;16;8;2;6;11;14;15;18;12;7;5;10;1;20;17;9;4
15;16;USA;9;16;11;14;10;2;6;4;12;7;-;15;5;18;3;1;20;19;8;13
16;17;MEX;18;6;20;14;12;2;10;4;13;7;-;15;9;19;5;1;11;17;8;3
17;18;BRA;20;7;16;12;14;2;5;6;15;8;-;13;11;4;19;1;10;18;9;3
18;19;ABD;16;6;12;17;18;2;7;9;13;8;20;14;4;3;5;1;10;19;11;15
