;race_idx;race_name;ALO;BOT;BUT;ERI;GRO;GUT;HAM;HAR;HUL;KVY;MAG;MAS;NAS;PAL;PER;RAI;RIC;ROS;SAI;VER;VET;WEH
0;1;AUS;11;16;12;15;19;20;1;22;10;18;14;6;17;13;9;4;8;2;7;5;3;21
1;2;BHR;-;6;14;17;9;13;1;20;8;15;22;7;21;19;18;4;5;2;11;10;3;16
2;3;CHN;11;5;12;15;14;18;22;20;13;6;17;10;16;19;7;3;2;1;8;9;4;21
3;4;RUS;14;2;12;22;15;16;10;21;13;8;17;4;19;18;6;3;5;1;11;9;7;20
4;5;ESP;10;7;12;19;14;16;1;22;11;13;15;18;20;17;9;5;3;2;8;4;6;21
5;6;MCO;9;10;13;17;15;12;3;19;5;8;16;14;22;18;7;11;1;2;6;21;4;20
6;7;CAN;10;7;12;21;14;13;1;19;9;15;22;8;18;16;11;6;4;2;20;5;3;17
7;8;EUR;13;8;19;20;11;14;10;16;12;6;22;5;15;21;7;4;2;1;18;9;3;17
8;9;AUT;14;7;3;18;13;11;1;20;2;22;17;10;21;19;16;4;5;6;15;8;9;12
9;10;GBR;9;6;17;22;13;14;1;19;8;15;16;12;21;18;10;5;4;2;7;3;11;20
10;11;HUN;7;10;8;22;11;15;2;21;9;12;19;18;16;17;13;14;3;1;6;4;5;20
11;12;DEU;13;7;12;22;20;11;2;19;8;18;16;10;21;14;9;5;3;1;15;4;6;17
12;13;BEL;22;8;9;20;11;18;21;-;7;19;12;10;16;13;6;3;5;1;14;2;4;15
13;14;ITA;12;5;14;19;17;10;1;-;9;16;21;11;18;20;8;4;6;2;15;7;3;13
14;15;SGP;9;10;12;14;20;13;3;-;8;7;15;11;16;18;17;5;2;1;6;4;22;19
15;16;MYS;22;11;9;17;12;13;1;-;8;15;14;10;18;19;7;6;4;2;16;3;5;21
16;17;JPN;15;11;22;18;7;10;2;-;9;13;17;12;19;16;5;8;4;1;14;3;6;21
17;18;USA;12;8;19;16;17;14;1;-;7;13;18;9;21;15;11;5;3;2;10;4;6;20
18;19;MEX;11;8;13;15;22;17;1;-;5;18;14;9;19;21;12;6;4;2;10;3;7;16
19;20;BRA;10;11;17;20;7;12;1;-;8;14;18;13;21;16;9;3;6;2;15;4;5;19
20;21;ABD;9;11;12;22;14;13;1;-;7;17;18;10;19;15;8;4;3;2;21;6;5;16
