;race_idx;race_name;ALO;BOT;ERI;GRO;HAM;HUL;KVY;MAG;MAS;OCO;PAL;PER;RAI;RIC;SAI;STR;VAN;VER;VET;WEH
0;1;AUS;ab;3;ab;ab;2;11;9;ab;6;10;ab;7;4;ab;8;ab;13;5;1;f
1;2;CHN;ab;6;15;11;1;12;ab;8;14;10;13;9;5;4;7;ab;ab;3;2;-
2;3;BHR;14;3;ab;8;2;9;12;ab;6;10;13;7;4;5;ab;ab;np;ab;1;11
3;4;RUS;np;1;15;ab;4;8;12;13;9;7;ab;6;3;ab;10;11;14;5;2;16
4;5;ESP;12;ab;11;10;1;6;9;14;13;5;15;4;ab;3;7;16;ab;ab;2;8
5;6;MCO;-;4;ab;8;7;ab;14;10;9;12;11;13;2;3;6;15;ab;5;1;ab
6;7;CAN;16;2;13;10;1;8;ab;12;ab;6;11;5;7;3;ab;9;14;ab;4;15
7;8;AZE;9;2;11;13;5;ab;ab;7;ab;6;ab;ab;14;1;8;3;12;ab;4;10
8;9;AUT;ab;1;15;6;4;13;16;ab;9;8;11;7;5;3;ab;10;12;ab;2;14
9;10;GBR;ab;2;14;13;1;6;15;12;10;8;np;9;3;5;ab;16;11;4;7;17
10;11;HUN;6;3;16;ab;4;17;11;13;f;9;12;8;2;ab;7;14;10;5;1;15
11;12;BEL;ab;5;16;7;1;6;12;15;8;9;13;17;4;3;10;11;14;ab;2;ab
12;13;ITA;17;2;18;15;1;13;12;11;8;6;ab;9;5;4;14;7;ab;10;3;16
13;14;SGP;ab;3;ab;9;1;ab;ab;ab;11;10;6;5;ab;2;4;8;7;ab;ab;12
14;15;MYS;11;5;18;13;2;16;-;12;9;10;15;6;np;3;ab;8;7;1;4;17
15;16;JPN;11;4;ab;9;1;ab;-;8;10;6;12;7;5;3;ab;ab;14;2;ab;15
16;17;USA;ab;5;15;14;1;ab;10;16;9;6;-;8;3;ab;7;11;12;4;2;ab
17;18;MEX;10;2;ab;15;9;ab;-;8;11;5;-;7;3;ab;ab;6;12;1;4;14
18;19;BRA;8;2;13;15;4;10;-;ab;7;ab;-;9;3;6;11;16;ab;5;1;14
19;20;ABD;9;1;17;11;2;6;-;13;10;8;-;7;4;ab;ab;18;12;5;3;14
