;race_idx;race_name;ALO;BOT;ERI;GAS;GRO;HAM;HAR;HUL;LEC;MAG;OCO;PER;RAI;RIC;SAI;SIR;STR;VAN;VER;VET
0;1;AUS;5;8;ab;ab;ab;2;15;7;13;ab;12;11;3;4;10;ab;14;9;6;1
1;2;BHR;7;2;9;4;13;3;17;6;12;5;10;16;ab;ab;11;15;14;8;ab;1
2;3;CHN;7;2;16;18;17;4;20;6;19;10;11;12;3;1;9;15;14;13;5;8
3;4;AZE;7;14;11;12;ab;1;10;ab;6;13;ab;3;2;ab;5;ab;8;9;ab;4
4;5;ESP;8;2;13;ab;ab;1;12;ab;10;6;ab;9;ab;5;7;14;11;ab;3;4
5;6;MCO;ab;5;11;7;15;3;19;8;18;13;6;12;4;1;10;16;17;14;9;2
6;7;CAN;ab;2;15;11;12;5;ab;7;10;13;9;14;6;4;8;17;ab;16;3;1
7;8;FRA;16;7;13;ab;11;1;14;9;10;6;ab;ab;3;4;8;15;17;12;2;5
8;9;AUT;8;ab;10;11;4;ab;ab;ab;9;5;6;7;2;ab;12;13;14;15;1;3
9;10;GBR;8;4;ab;13;ab;2;ab;6;ab;9;7;10;3;5;ab;14;12;11;15;1
10;11;DEU;16;2;9;14;6;1;10;5;15;11;8;7;3;ab;12;ab;ab;13;4;ab
11;12;HUN;8;5;15;6;10;1;11;12;ab;7;13;14;3;4;9;16;17;ab;ab;2
12;13;BEL;ab;4;10;9;7;2;14;ab;ab;8;6;5;ab;ab;11;12;13;15;3;1
13;14;ITA;ab;3;15;14;dsq;1;ab;13;11;16;6;7;2;ab;8;10;9;12;5;4
14;15;SGP;7;4;11;13;15;1;17;10;9;18;ab;16;5;6;8;19;14;12;2;3
15;16;RUS;14;2;13;ab;11;1;ab;12;7;8;9;10;4;6;17;18;15;16;5;3
16;17;JPN;14;2;12;11;8;1;13;ab;ab;ab;9;7;5;4;10;16;17;15;3;6
17;18;USA;ab;5;10;12;ab;3;9;6;ab;dsq;dsq;8;1;ab;7;13;14;11;2;4
18;19;MEX;ab;5;9;10;16;4;14;6;7;15;11;ab;3;ab;ab;13;12;8;1;2
19;20;BRA;17;5;ab;13;8;1;11;ab;7;9;14;10;3;4;12;16;18;15;2;6
20;21;ABD;11;5;ab;ab;9;1;12;ab;7;10;ab;8;ab;4;6;15;13;14;3;2
