;race_idx;race_name;ALB;BOT;GAS;GIO;GRO;HAM;HUL;KUB;KVY;LEC;MAG;NOR;PER;RAI;RIC;RUS;SAI;STR;VER;VET
0;1;AUS;13;2;17;14;6;1;11;20;15;5;7;8;10;9;12;19;18;16;4;3
1;2;BHR;12;4;13;16;8;3;17;20;15;1;6;10;14;9;11;19;7;18;5;2
2;3;CHN;20;1;6;19;10;2;8;18;11;4;9;15;12;13;7;17;14;16;5;3
3;4;AZE;13;1;15;8;17;2;18;20;6;10;14;7;5;9;12;19;11;16;4;3
4;5;ESP;12;1;6;18;7;2;16;20;9;5;8;11;15;14;10;19;13;17;4;3
5;6;MCO;10;2;5;15;13;1;11;20;8;16;6;12;17;14;7;19;9;18;3;4
6;7;CAN;14;6;5;13;15;2;7;20;12;3;10;8;16;17;4;19;9;18;11;1
7;8;FRA;11;2;9;10;17;1;13;20;16;3;15;5;14;12;8;19;6;18;4;7
8;9;AUT;13;4;9;8;11;2;12;20;18;1;5;6;16;7;14;19;15;17;3;10
9;10;GBR;9;1;5;11;14;2;10;20;17;3;16;8;15;12;7;19;13;18;4;6
10;11;DEU;17;3;4;11;6;1;9;19;14;10;12;16;8;5;13;18;7;15;2;20
11;12;HUN;12;2;6;14;9;3;11;20;13;4;15;7;17;10;18;16;8;19;1;5
12;13;BEL;14;4;16;15;11;3;7;20;18;1;10;12;9;8;6;19;17;13;5;2
13;14;ITA;8;3;15;11;16;2;6;19;13;1;12;14;17;10;5;18;7;9;20;4
14;15;SGP;6;5;12;11;17;2;8;19;15;1;14;9;10;13;20;18;7;16;4;3
15;16;RUS;19;5;11;13;9;2;7;18;20;1;14;8;12;16;10;17;6;15;4;3
16;17;JPN;6;3;9;11;10;4;15;20;14;2;19;8;17;13;16;18;7;12;5;1
17;18;MEX;5;6;10;15;18;4;12;20;9;2;17;8;11;14;13;19;7;16;1;3
18;19;USA;6;1;10;16;15;5;11;20;13;4;12;8;19;17;9;18;7;14;3;2
19;20;BRA;6;5;7;13;8;3;14;19;16;4;10;11;15;9;12;18;20;17;1;2
20;21;ABD;6;2;12;17;16;1;10;20;14;4;15;7;11;18;8;19;9;13;3;5
