;race_idx;race_name;ALB;BOT;GAS;GIO;GRO;HAM;HUL;KUB;KVY;LEC;MAG;NOR;PER;RAI;RIC;RUS;SAI;STR;VER;VET
0;1;AUS;14;1;11;15;ab;2;7;17;10;5;6;12;13;8;ab;16;ab;9;3;4
1;2;BHR;9;2;8;11;ab;1;17;16;12;3;13;6;10;7;18;15;19;14;4;5
2;3;CHN;10;2;6;15;11;1;ab;17;ab;5;13;18;8;9;7;16;14;12;4;3
3;4;AZE;11;1;ab;12;ab;2;14;16;ab;5;13;8;6;10;ab;15;7;9;4;3
4;5;ESP;11;2;6;16;10;1;13;18;9;5;7;ab;15;14;12;17;8;ab;3;4
5;6;MCO;8;3;5;19;10;1;13;18;7;ab;14;11;12;17;9;15;6;16;4;2
6;7;CAN;ab;4;8;13;14;1;7;18;10;3;17;ab;12;15;6;16;11;9;5;2
7;8;FRA;15;2;10;16;ab;1;8;18;14;3;17;9;12;7;11;19;6;13;4;5
8;9;AUT;15;3;7;10;16;5;13;20;17;2;19;6;11;9;12;18;8;14;1;4
9;10;GBR;12;2;4;ab;ab;1;10;15;9;3;ab;11;17;8;7;14;6;13;5;16
10;11;DEU;6;ab;14;13;7;9;ab;10;3;ab;8;ab;ab;12;ab;11;5;4;1;2
11;12;HUN;10;8;6;18;ab;1;12;19;15;4;13;9;11;7;14;16;5;17;2;3
12;13;BEL;5;3;9;18;13;2;8;17;7;1;12;11;6;16;14;15;ab;10;ab;4
13;14;ITA;6;2;11;9;16;3;5;17;ab;1;ab;10;7;15;4;14;ab;12;8;13
14;15;SGP;6;5;8;10;11;4;9;16;15;2;17;7;ab;ab;14;ab;12;13;3;1
15;16;RUS;5;2;14;15;ab;1;10;ab;12;3;9;8;7;13;ab;ab;6;11;4;ab
16;17;JPN;4;1;7;14;13;3;dsq;17;10;6;15;11;8;12;dsq;16;5;9;ab;2
17;18;MEX;5;3;9;14;17;1;10;18;11;4;15;ab;7;ab;8;16;13;12;6;2
18;19;USA;5;1;16;14;15;2;9;ab;12;4;18;7;10;11;6;17;8;13;3;ab
19;20;BRA;14;ab;2;5;13;7;15;16;10;18;11;8;9;4;6;12;3;19;1;17
20;21;ABD;6;4;18;16;15;1;12;19;9;3;14;8;7;13;11;17;10;ab;2;5
