;race_idx;race_name;ALB;BOT;GAS;GIO;GRO;HAM;KVY;LAT;LEC;MAG;NOR;OCO;PER;RAI;RIC;RUS;SAI;STR;VER;VET
0;1;AUT;5;1;12;18;15;2;13;20;7;16;4;14;6;19;10;17;8;9;3;11
1;2;STY;7;4;8;19;20;1;14;18;11;15;6;5;17;16;9;12;3;13;2;10
2;3;HUN;13;2;10;19;18;1;17;15;6;16;8;14;4;20;11;12;9;3;7;5
3;4;GBR;12;2;11;17;19;1;14;20;4;16;5;9;-;18;8;15;7;6;3;10
4;5;70;9;1;7;19;14;2;16;18;8;17;10;11;-;20;5;15;13;6;4;12
5;6;ESP;6;2;10;20;17;1;12;19;9;16;8;15;4;14;13;18;7;5;3;11
6;7;BEL;5;2;12;18;17;1;11;19;13;20;10;6;8;16;4;15;7;9;3;14
7;8;ITA;9;2;10;18;16;1;11;20;13;15;6;12;4;14;7;19;3;8;5;17
8;9;TOS;4;2;16;17;15;1;12;19;5;20;11;10;6;13;8;18;9;7;3;14
9;10;RUS;10;3;9;17;16;1;12;19;11;18;8;7;4;20;5;14;6;13;2;15
10;11;EIF;5;1;12;14;16;2;13;18;4;15;8;7;9;19;6;17;10;-;3;11
11;12;PRT;6;2;9;17;18;1;13;20;4;19;8;11;5;16;10;14;7;12;3;15
12;13;ERO;6;1;4;20;16;2;8;19;7;17;9;12;11;18;5;13;10;15;3;14
13;14;TUR;4;9;15;10;19;6;17;20;14;16;11;7;3;8;5;18;13;1;2;12
14;15;BHR;4;2;8;16;19;1;10;20;12;18;9;7;5;17;6;14;15;13;3;11
15;16;SAK;12;1;9;14;-;-;6;17;4;16;15;11;5;19;7;2;8;10;3;13
16;17;ABD;5;2;10;14;-;3;7;20;9;17;4;11;15;16;12;18;6;8;1;13
