;race_idx;race_name;ALB;BOT;GAS;GIO;GRO;HAM;KVY;LAT;LEC;MAG;NOR;OCO;PER;RAI;RIC;RUS;SAI;STR;VER;VET
0;1;AUT;13;1;7;9;ab;4;12;11;2;ab;3;8;6;ab;ab;ab;5;ab;ab;10
1;2;STY;4;2;15;14;13;1;10;17;ab;12;5;ab;6;11;8;16;9;7;3;ab
2;3;HUN;5;3;ab;17;16;1;12;19;11;10;13;14;7;15;8;18;9;4;2;6
3;4;GBR;8;11;7;14;16;1;ab;15;3;ab;5;6;f;17;4;12;13;9;2;10
4;5;70;5;3;11;17;16;2;10;19;4;ab;9;8;-;15;14;18;13;6;1;12
5;6;ESP;8;3;9;16;19;1;12;18;ab;15;10;13;5;14;11;17;6;4;2;7
6;7;BEL;6;2;8;ab;15;1;11;16;14;17;7;5;10;12;4;ab;np;9;3;13
7;8;ITA;15;5;1;16;12;7;9;11;ab;ab;4;8;10;13;6;14;2;3;ab;ab
8;9;TOS;3;2;ab;ab;12;1;7;ab;8;ab;6;ab;5;9;4;11;ab;ab;ab;10
9;10;RUS;10;1;9;11;17;3;8;16;6;12;15;7;4;14;5;18;ab;ab;2;13
10;11;EIF;ab;ab;6;10;9;1;15;14;7;13;ab;ab;4;12;3;ab;5;f;2;11
11;12;PRT;12;2;5;15;17;1;19;18;4;16;13;8;7;11;9;14;6;ab;3;10
12;13;ERO;15;2;ab;10;14;1;4;11;5;ab;8;ab;6;9;3;ab;7;13;ab;12
13;14;TUR;7;14;13;ab;ab;1;12;ab;4;17;8;11;2;15;10;16;5;9;6;3
14;15;BHR;3;8;6;16;ab;1;11;14;10;17;4;9;18;15;7;12;5;ab;2;13
15;16;SAK;6;8;11;13;-;-;7;ab;ab;15;10;2;1;14;5;9;4;3;ab;12
16;17;ABD;4;2;8;16;-;3;11;17;13;18;5;9;ab;12;7;15;6;10;1;14
