;race_idx;race_name;ALO;BOT;GAS;GIO;HAM;LAT;LEC;MAZ;NOR;OCO;PER;RAI;RIC;RUS;SAI;MSC;STR;TSU;VER;VET
0;1;BHR;9;3;5;12;2;17;4;20;7;16;11;14;6;15;8;19;10;13;1;18
1;2;ERO;15;8;5;17;1;14;4;19;7;9;2;16;6;12;11;18;10;20;3;13
2;3;PRT;13;1;9;12;2;18;8;20;7;6;4;15;16;11;5;19;17;14;3;10
3;4;ESP;10;3;12;14;1;19;4;20;9;5;8;17;7;15;6;18;11;16;2;13
4;5;MCO;17;3;6;10;7;18;1;19;5;11;9;14;12;15;4;20;13;16;2;8
5;6;AZE;9;10;4;20;2;16;1;18;6;12;7;14;13;15;5;17;19;8;3;11
6;7;FRA;9;3;6;13;2;16;7;18;8;11;4;17;10;14;5;15;19;20;1;12
7;8;STY;9;2;6;15;3;16;7;20;4;17;5;18;13;11;12;19;10;8;1;14
8;9;AUT;14;5;6;15;4;18;12;20;2;17;3;16;13;9;11;19;10;7;1;8
9;10;GBR;11;3;12;14;1;18;4;20;6;13;5;17;7;8;9;19;15;16;2;10
10;11;HUN;9;2;5;14;1;18;7;19;6;8;4;13;11;17;15;20;12;16;3;10
11;12;BEL;14;8;6;16;3;12;11;20;10;9;7;19;4;2;13;18;15;17;1;5
12;13;NLD;9;3;4;7;2;14;5;20;13;8;16;-;10;11;6;19;12;15;1;17
13;14;ITA;13;1;6;10;2;16;8;20;4;14;9;-;5;15;7;18;12;17;3;11
14;15;RUS;6;7;12;18;4;14;15;19;1;10;9;16;5;3;2;17;8;13;20;11
15;16;TUR;6;2;5;18;1;17;4;20;8;12;7;19;16;13;15;14;9;10;3;11
16;17;USA;14;4;9;13;2;17;5;20;8;11;3;18;7;15;6;19;16;10;1;12
17;18;MXC;16;1;5;14;2;17;8;19;10;15;4;12;7;13;6;18;20;9;3;11
18;19;SAO;9;2;4;14;20;16;6;19;7;10;3;13;8;17;5;18;15;12;1;11
19;20;QAT;5;3;4;18;1;17;13;20;6;9;11;16;14;15;7;19;12;8;2;10
20;21;SAU;13;2;6;10;1;16;4;20;7;9;5;12;11;14;15;19;18;8;3;17
21;22;ABD;11;6;12;14;2;16;7;20;3;9;4;18;10;17;5;19;13;8;1;15
