;race_idx;race_name;ALO;BOT;GAS;GIO;HAM;LAT;LEC;MAZ;NOR;OCO;PER;RAI;RIC;RUS;SAI;MSC;STR;TSU;VER;VET
0;1;BHR;ab;3;17;12;1;18;6;ab;4;13;5;11;7;14;8;16;10;9;2;15
1;2;ERO;10;ab;7;14;2;ab;4;17;3;9;11;13;6;ab;5;16;8;12;1;15
2;3;PRT;8;3;10;12;1;18;6;19;5;7;4;ab;9;16;11;17;14;15;2;13
3;4;ESP;17;3;10;15;1;16;4;19;8;9;5;12;6;14;7;18;11;ab;2;13
4;5;MCO;13;ab;6;10;7;15;np;17;3;9;4;11;12;14;2;18;8;16;1;5
5;6;AZE;6;12;3;11;15;16;4;14;5;ab;1;10;9;17;8;13;ab;7;18;2
6;7;FRA;8;4;7;15;2;18;16;20;5;14;3;17;6;12;11;19;10;13;1;9
7;8;STY;9;3;ab;15;2;17;7;18;5;14;4;11;13;ab;6;16;8;10;1;12
8;9;AUT;10;2;9;14;4;16;8;19;3;ab;6;15;7;11;5;18;13;12;1;17
9;10;GBR;7;3;11;13;1;14;2;17;4;9;16;15;5;12;6;18;8;10;ab;ab
10;11;HUN;4;ab;5;13;2;7;ab;ab;ab;1;ab;10;11;8;3;12;ab;6;9;dsq
11;12;BEL;11;12;6;13;3;9;8;17;14;7;19;18;4;2;10;16;20;15;1;5
12;13;NLD;6;3;4;14;2;16;5;ab;10;9;8;f;11;17;7;18;12;ab;1;13
13;14;ITA;8;3;ab;13;ab;11;4;ab;2;10;5;-;1;9;6;15;7;np;ab;12
14;15;RUS;6;5;13;16;1;19;15;18;7;14;9;8;4;10;3;ab;11;17;2;12
15;16;TUR;16;1;6;11;5;17;4;20;7;10;3;12;13;15;8;19;9;14;2;18
16;17;USA;ab;6;ab;11;2;15;4;17;8;ab;3;13;5;14;7;16;12;9;1;10
17;18;MXC;9;15;4;11;2;17;5;18;10;13;3;8;12;16;6;ab;14;ab;1;7
18;19;SAO;9;3;7;14;1;16;5;17;10;8;4;12;ab;13;6;18;ab;15;2;11
19;20;QAT;3;ab;11;15;1;ab;8;18;9;5;4;14;12;17;7;16;6;13;2;10
20;21;SAU;13;3;6;9;1;12;7;ab;10;4;ab;15;5;ab;8;ab;11;14;2;ab
21;22;ABD;8;6;5;ab;2;ab;10;np;7;9;15;ab;12;ab;3;14;13;4;1;11
