;race_idx;race_name;ALO;BOT;GAS;GIO;HAM;LAT;LEC;MAZ;NOR;OCO;PER;RAI;RIC;RUS;SAI;MSC;STR;TSU;VER;VET
0;1;BHR;9;3;5;12;2;17;4;19;7;16;11;14;6;15;8;18;10;13;1;20
1;2;ERO;15;8;5;17;1;14;4;19;7;9;2;16;6;12;11;18;10;20;3;13
2;3;PRT;13;1;9;12;2;18;8;20;7;6;4;15;16;11;5;19;17;14;3;10
3;4;ESP;10;3;12;14;1;19;4;20;9;5;8;17;7;15;6;18;11;16;2;13
4;5;MCO;17;3;6;10;7;18;1;19;5;11;9;14;12;15;4;20;13;16;2;8
5;6;AZE;8;10;4;20;2;16;1;18;9;12;6;14;13;15;5;17;19;7;3;11
6;7;FRA;9;3;6;13;2;16;7;18;8;11;4;17;10;14;5;15;19;20;1;12
7;8;STY;8;5;6;15;2;16;7;20;3;17;4;18;13;10;12;19;9;11;1;14
8;9;AUT;14;5;6;15;4;18;12;20;2;17;3;16;13;8;10;19;9;7;1;11
9;10;GBR;7;3;11;15;2;17;4;19;5;9;20;13;6;12;10;18;14;16;1;8
10;11;HUN;9;2;5;14;1;18;7;19;6;8;4;13;11;17;15;20;12;16;3;10
11;12;BEL;12;13;6;14;3;10;9;18;15;8;7;20;4;2;11;17;19;16;1;5
12;13;NLD;9;3;4;7;2;19;5;18;13;8;20;-;10;11;6;17;12;14;1;15
13;14;ITA;10;19;20;7;4;13;5;16;3;12;8;-;2;14;6;18;9;15;1;11
14;15;RUS;6;16;11;17;4;18;19;15;1;9;8;13;5;3;2;14;7;12;20;10
15;16;TUR;5;1;4;16;11;15;3;18;7;12;6;17;20;13;19;14;8;9;2;10
16;17;USA;19;9;8;12;2;14;4;17;7;11;3;15;6;20;5;16;13;10;1;18
17;18;MXC;12;1;5;11;2;13;8;15;18;19;4;10;7;16;6;14;20;17;3;9
18;19;SAO;12;1;7;13;10;16;6;19;5;8;4;20;11;17;3;18;14;15;2;9
19;20;QAT;3;6;2;18;1;17;13;20;4;9;11;16;14;15;5;19;12;8;7;10
20;21;SAU;13;2;6;10;1;16;4;20;7;9;5;12;11;14;15;19;18;8;3;17
21;22;ABD;11;6;12;14;2;16;7;20;3;9;4;18;10;17;5;19;13;8;1;15
